employee_code,period,basic_salary,fixed_allowances,shift_allowances,overtime_pay,bonus,gross_earnings,attendance_deduction,no_pay_deduction,loan_deduction,total_deductions,net_salary,status
EMP0054,2025-10,52200,11486,4671,708.97,0,69065.97,435,2007.69,0,2442.69,66623.28,PAID
EMP0055,2025-10,59100,10888,6675,1768.74,0,78431.74,383.58,2273.08,0,2656.66,75775.08,PAID
EMP0057,2025-10,52200,8749,4518,2352.76,0,67819.76,723.61,4015.38,0,4738.99,63080.77,PAID
EMP0059,2025-10,57900,11197,5130,1906.8,0,76133.8,1159.86,8907.69,0,10067.55,66066.25,PAID
EMP0061,2025-10,185200,11021,0,7879.9,0,204100.9,2938.27,14246.15,0,17184.42,186916.48,PAID
EMP0062,2025-10,93500,10309,6544,4854.81,0,115207.81,1678.21,14384.62,4464,20526.83,94680.98,PAID
EMP0063,2025-10,111100,9640,6033,2870.97,0,129643.97,1584.6,4273.08,0,5857.68,123786.29,PAID
EMP0064,2025-10,55300,11410,5177,2831.47,0,74718.47,872.92,4253.85,0,5126.77,69591.7,PAID
EMP0065,2025-10,67000,10970,4297,2786.3,0,85053.3,955.61,2576.92,0,3532.53,81520.77,PAID
EMP0066,2025-10,53200,10492,6971,1381.15,0,72044.15,720.42,10230.77,0,10951.19,61092.96,PAID
EMP0067,2025-10,61100,10687,4912,1850.63,0,78549.63,0,0,0,0,78549.63,PAID
EMP0068,2025-10,52900,10083,5401,1793,0,70177,470.5,2034.62,0,2505.12,67671.88,PAID
EMP0069,2025-10,65300,12109,6111,2692.06,0,86212.06,512.77,10046.15,0,10558.92,75653.14,PAID
EMP0070,2025-10,62900,11975,4478,1640.54,0,80993.54,599.77,4838.46,0,5438.23,75555.31,PAID
EMP0071,2025-10,189900,11620,0,3788.87,0,205308.87,2556.35,14607.69,0,17164.04,188144.83,PAID
EMP0072,2025-10,99500,11039,0,3480.11,14648,128667.11,1722.12,15307.69,0,17029.81,111637.3,PAID
EMP0073,2025-10,92600,10676,0,1613.82,5911,110800.82,437.77,7123.08,0,7560.85,103239.97,PAID
EMP0075,2025-10,51100,9130,0,878.28,0,61108.28,712.45,1965.38,0,2677.83,58430.45,PAID
EMP0076,2025-10,52100,9448,0,738.92,0,62286.92,738.92,6011.54,0,6750.46,55536.46,PAID
EMP0077,2025-10,44100,11629,0,1213.81,0,56942.81,735,0,0,735,56207.81,PAID
EMP0078,2025-10,49700,9317,0,483.86,0,59500.86,183.19,0,0,183.19,59317.67,PAID
EMP0079,2025-10,53500,10112,0,3420.91,6612,73644.91,1045.99,4115.38,2631,7792.37,65852.54,PAID
EMP0080,2025-10,53200,11231,0,1413.13,0,65844.13,524.33,2046.15,0,2570.48,63273.65,PAID
EMP0082,2025-10,47300,9826,0,591.25,0,57717.25,632.94,5457.69,0,6090.63,51626.62,PAID
EMP0083,2025-10,191100,11748,0,7097.34,0,209945.34,0,0,0,0,209945.34,PAID
EMP0084,2025-10,150200,11457,0,4621.54,9723,176001.54,1600.69,5776.92,0,7377.61,168623.93,PAID
EMP0085,2025-10,72800,9616,0,1566.25,0,83982.25,595,8400,0,8995,74987.25,PAID
EMP0086,2025-10,77700,9757,0,4968.32,0,92425.32,348.65,0,5596,5944.65,86480.67,PAID
EMP0087,2025-10,66000,10675,0,2705.05,0,79380.05,687.5,2538.46,7309,10534.96,68845.09,PAID
EMP0089,2025-10,76400,9448,0,2846.63,0,88694.63,422.4,5876.92,0,6299.32,82395.31,PAID
EMP0091,2025-10,234900,9269,0,8413.49,0,252582.49,3350.34,45173.08,0,48523.42,204059.07,PAID
EMP0092,2025-10,149500,10002,0,3539.84,0,163041.84,0,0,0,0,163041.84,PAID
EMP0093,2025-10,71400,11101,0,2780.48,0,85281.48,783.8,5492.31,0,6276.11,79005.37,PAID
EMP0094,2025-10,68500,10560,0,2980.41,0,82040.41,521.43,5269.23,0,5790.66,76249.75,PAID
EMP0095,2025-10,74400,9571,0,3013.56,0,86984.56,238.46,0,0,238.46,86746.1,PAID
EMP0096,2025-10,74400,10704,0,1877.88,0,86981.88,1126.73,17169.23,0,18295.96,68685.92,PAID
EMP0097,2025-10,80000,11499,0,884.62,0,92383.62,1115.38,6153.85,0,7269.23,85114.39,PAID
EMP0098,2025-10,80000,11039,0,2211.54,0,93250.54,0,3076.92,0,3076.92,90173.62,PAID
EMP0100,2025-10,79700,11181,0,3256.97,0,94137.97,938.77,3065.38,0,4004.15,90133.82,PAID
EMP0001,2025-11,423400,10093,0,5801.39,0,439294.39,3155.14,0,7844,10999.14,428295.25,PAID
EMP0002,2025-11,189600,9620,0,0,0,199220,3311.92,21876.92,0,25188.84,174031.16,PAID
EMP0003,2025-11,58700,10576,0,917.19,0,70193.19,714.94,11288.46,0,12003.4,58189.79,PAID
EMP0004,2025-11,49300,8282,0,1380.64,0,58962.64,205.42,0,0,205.42,58757.22,PAID
EMP0005,2025-11,59300,8529,0,798.27,0,68627.27,798.27,4561.54,0,5359.81,63267.46,PAID
EMP0007,2025-11,60900,9448,0,1017.44,0,71365.44,224.47,0,0,224.47,71140.97,PAID
EMP0008,2025-11,53500,11635,0,739.48,0,65874.48,831.65,4115.38,0,4947.03,60927.45,PAID
EMP0009,2025-11,205600,11388,0,6301.44,0,223289.44,3509.04,7907.69,0,11416.73,211872.71,PAID
EMP0010,2025-11,95600,10683,6849,241.3,0,113373.3,942.21,7353.85,0,8296.06,105077.24,PAID
EMP0011,2025-11,99200,9010,4953,2491.92,0,115654.92,1041.28,7630.77,0,8672.05,106982.87,PAID
EMP0012,2025-11,108400,10508,6992,599.33,0,126499.33,1224.71,4169.23,0,5393.94,121105.39,PAID
EMP0013,2025-11,91000,8212,6437,1126.56,0,106775.56,838.54,0,0,838.54,105937.02,PAID
EMP0014,2025-11,84800,11188,6320,2915,0,105223,761.03,16307.69,0,17068.72,88154.28,PAID
EMP0015,2025-11,77100,10445,4823,2715.18,0,95083.18,1235.58,0,0,1235.58,93847.6,PAID
EMP0016,2025-11,76500,9836,4222,1526.32,0,92084.32,490.38,8826.92,0,9317.3,82767.02,PAID
EMP0017,2025-11,61700,9058,6355,1794.64,0,78907.64,766.31,2373.08,3822,6961.39,71946.25,PAID
EMP0018,2025-11,57200,10019,5095,1031.25,16878,90223.25,22.92,4400,0,4422.92,85800.33,PAID
EMP0019,2025-11,56400,8798,5670,1877.74,0,72745.74,0,0,0,0,72745.74,PAID
EMP0020,2025-11,63500,10577,5665,2381.25,0,82123.25,157.73,2442.31,0,2600.04,79523.21,PAID
EMP0022,2025-11,56800,8496,6372,2355.29,0,74023.29,386.86,0,5720,6106.86,67916.43,PAID
EMP0023,2025-11,61100,11498,4883,2327.97,0,79808.97,235,9400,0,9635,70173.97,PAID
EMP0024,2025-11,57000,10005,5944,3185.7,0,76134.7,173.56,0,0,173.56,75961.14,PAID
EMP0025,2025-11,63600,12051,5184,1184.86,0,82019.86,468.85,2446.15,0,2915,79104.86,PAID
EMP0026,2025-11,51900,8542,6673,1609.4,0,68724.4,453.29,3992.31,0,4445.6,64278.8,PAID
EMP0027,2025-11,63500,11034,4876,419.77,0,79829.77,518.99,2442.31,7152,10113.3,69716.47,PAID
EMP0028,2025-11,59200,11176,6419,1238.08,0,78033.08,588.21,4553.85,0,5142.06,72891.02,PAID
EMP0030,2025-11,59500,10803,5285,1044.11,0,76632.11,519.67,2288.46,0,2808.13,73823.98,PAID
EMP0031,2025-11,64900,11941,6296,0,0,83137,0,0,2838,2838,80299,PAID
EMP0032,2025-11,64500,10120,4920,2395.49,0,81935.49,201.56,4961.54,0,5163.1,76772.39,PAID
EMP0033,2025-11,57000,11111,4372,2918.51,0,75401.51,502.4,4384.62,0,4887.02,70514.49,PAID
EMP0034,2025-11,62600,12177,4129,112.86,0,79018.86,978.13,7223.08,0,8201.21,70817.65,PAID
EMP0035,2025-11,58400,11001,4645,2611.15,0,76657.15,280.77,0,2837,3117.77,73539.38,PAID
EMP0037,2025-11,40000,12603,5296,1485.58,9870,69254.58,137.82,0,0,137.82,69116.76,PAID
EMP0038,2025-11,43400,11040,6722,448.61,0,61610.61,438.17,3338.46,0,3776.63,57833.98,PAID
EMP0039,2025-11,40900,10208,5615,742.3,0,57465.3,566.96,0,0,566.96,56898.34,PAID
EMP0040,2025-11,39600,11900,5318,214.18,0,57032.18,736.15,3046.15,0,3782.3,53249.88,PAID
EMP0041,2025-11,45900,11693,4995,579.27,5145,68312.27,331.01,3530.77,0,3861.78,64450.49,PAID
EMP0042,2025-11,42300,8654,5405,960.9,0,57319.9,640.6,3253.85,2635,6529.45,50790.45,PAID
EMP0043,2025-11,45500,8289,5571,1421.88,0,60781.88,0,0,0,0,60781.88,PAID
EMP0044,2025-11,41000,10164,5688,1675.48,0,58527.48,423.8,0,0,423.8,58103.68,PAID
EMP0045,2025-11,39200,10680,4156,320.38,0,54356.38,590.51,4523.08,0,5113.59,49242.79,PAID
EMP0046,2025-11,41400,8920,4468,1711.73,0,56499.73,136.01,0,3107,3243.01,53256.72,PAID
EMP0047,2025-11,29900,11501,6763,204.84,0,48368.84,198.85,2300,0,2498.85,45869.99,PAID
EMP0049,2025-11,185500,11088,0,4771.27,12046,213405.27,2749.8,0,0,2749.8,210655.47,PAID
EMP0050,2025-11,86500,10235,4649,3472.48,0,104856.48,1060.46,6653.85,0,7714.31,97142.17,PAID
EMP0051,2025-11,94900,12006,5115,2726.09,0,114747.09,1490.42,14600,0,16090.42,98656.67,PAID
EMP0052,2025-11,53000,10585,5247,1382.33,0,70214.33,428.93,8153.85,0,8582.78,61631.55,PAID
EMP0054,2025-11,52200,10672,5046,2710.38,0,70628.38,552.12,4015.38,0,4567.5,66060.88,PAID
EMP0055,2025-11,59100,10800,5995,2351.21,0,78246.21,738.75,2273.08,0,3011.83,75234.38,PAID
EMP0057,2025-11,52200,8530,6348,947.38,0,68025.38,288.61,0,5049,5337.61,62687.77,PAID
EMP0059,2025-11,57900,9517,4770,528.89,0,72715.89,528.89,2226.92,0,2755.81,69960.08,PAID
EMP0061,2025-11,185200,11784,0,690.05,0,197674.05,2359.52,21369.23,0,23728.75,173945.3,PAID
EMP0062,2025-11,93500,10543,6580,876.56,0,111499.56,1835.54,7192.31,0,9027.85,102471.71,PAID
EMP0063,2025-11,111100,8315,5122,3552,0,128089,925.83,4273.08,0,5198.91,122890.09,PAID
EMP0064,2025-11,55300,10647,6394,2824.82,0,75165.82,819.75,0,0,819.75,74346.07,PAID
EMP0065,2025-11,67000,10114,4486,209.38,0,81809.38,338.22,7730.77,0,8068.99,73740.39,PAID
EMP0066,2025-11,53200,9443,5774,1374.76,0,69791.76,332.5,6138.46,0,6470.96,63320.8,PAID
EMP0067,2025-11,61100,10949,6361,1101.56,0,79511.56,117.5,0,0,117.5,79394.06,PAID
EMP0068,2025-11,52900,11660,4205,909.22,0,69674.22,406.92,4069.23,0,4476.15,65198.07,PAID
EMP0069,2025-11,65300,10758,4875,3139.42,0,84072.42,638.35,0,0,638.35,83434.07,PAID
EMP0070,2025-11,62900,9739,5969,2056.35,0,80664.35,1068.49,4838.46,0,5906.95,74757.4,PAID
EMP0071,2025-11,189900,12388,0,2875.89,0,205163.89,1673.8,21911.54,0,23585.34,181578.55,PAID
EMP0072,2025-11,99500,9924,0,2379.87,0,111803.87,1514.82,7653.85,0,9168.67,102635.2,PAID
EMP0073,2025-11,92600,9187,0,3138.61,0,104925.61,1001.68,7123.08,0,8124.76,96800.85,PAID
EMP0075,2025-11,51100,10405,0,915.13,0,62420.13,221.11,0,0,221.11,62199.02,PAID
EMP0076,2025-11,52100,10621,0,532.27,0,63253.27,801.54,2003.85,0,2805.39,60447.88,PAID
EMP0077,2025-11,44100,8983,0,2141.39,0,55224.39,222.62,6784.62,0,7007.24,48217.15,PAID
EMP0078,2025-11,49700,11634,0,2001.14,0,63335.14,191.15,0,0,191.15,63143.99,PAID
EMP0079,2025-11,53500,10904,0,122.18,0,64526.18,913.1,0,0,913.1,63613.08,PAID
EMP0080,2025-11,53200,11611,0,0,0,64811,481.7,4092.31,7833,12407.01,52403.99,PAID
EMP0082,2025-11,47300,11881,0,1046.06,8662,68889.06,413.12,1819.23,0,2232.35,66656.71,PAID
EMP0083,2025-11,191100,9615,0,3284.53,0,203999.53,275.63,0,0,275.63,203723.9,PAID
EMP0084,2025-11,150200,10072,0,1678.92,0,161950.92,2407.05,5776.92,0,8183.97,153766.95,PAID
EMP0085,2025-11,72800,11850,0,980,0,85630,1102.5,8400,5960,15462.5,70167.5,PAID
EMP0086,2025-11,77700,8870,0,1914.48,0,88484.48,168.1,0,0,168.1,88316.38,PAID
EMP0087,2025-11,66000,12014,0,2284.62,0,80298.62,216.83,0,0,216.83,80081.79,PAID
EMP0089,2025-11,76400,10632,0,945.82,0,87977.82,1108.04,2938.46,0,4046.5,83931.32,PAID
EMP0091,2025-11,234900,11950,0,903.46,0,247753.46,2597.45,9034.62,0,11632.07,236121.39,PAID
EMP0092,2025-11,149500,9248,0,503.12,0,159251.12,179.69,0,0,179.69,159071.43,PAID
EMP0093,2025-11,71400,9806,0,3106.59,0,84312.59,1390.24,0,0,1390.24,82922.35,PAID
EMP0094,2025-11,68500,9813,0,2428.79,0,80741.79,598.28,5269.23,0,5867.51,74874.28,PAID
EMP0095,2025-11,74400,11230,0,724.33,0,86354.33,71.54,0,0,71.54,86282.79,PAID
EMP0096,2025-11,74400,9375,0,366.63,0,84141.63,1347.31,5723.08,0,7070.39,77071.24,PAID
EMP0097,2025-11,80000,10034,0,692.31,0,90726.31,756.41,3076.92,0,3833.33,86892.98,PAID
EMP0098,2025-11,80000,11507,0,2961.54,0,94468.54,0,0,0,0,94468.54,PAID
EMP0100,2025-11,79700,11710,0,3161.18,0,94571.18,1424.13,3065.38,0,4489.51,90081.67,PAID
EMP0001,2025-12,423400,9653,0,3867.6,0,436920.6,6106.73,0,0,6106.73,430813.87,PAID
EMP0002,2025-12,189600,9657,0,3441.06,0,202698.06,4193.08,21876.92,0,26070,176628.06,PAID
EMP0003,2025-12,58700,10498,0,1975.48,0,71173.48,936,4515.38,0,5451.38,65722.1,PAID
EMP0004,2025-12,49300,9422,0,811.79,0,59533.79,193.57,1896.15,0,2089.72,57444.07,PAID
EMP0005,2025-12,59300,9993,0,0,0,69293,565.44,9123.08,0,9688.52,59604.48,PAID
EMP0007,2025-12,60900,10100,0,614.86,0,71614.86,165.91,0,0,165.91,71448.95,PAID
EMP0008,2025-12,53500,9073,0,1568.99,0,64141.99,394.39,4115.38,0,4509.77,59632.22,PAID
EMP0009,2025-12,205600,10605,0,0,0,216205,2454.68,7907.69,0,10362.37,205842.63,PAID
EMP0010,2025-12,95600,11160,4594,3021.97,0,114375.97,720.06,0,2798,3518.06,110857.91,PAID
EMP0011,2025-12,99200,12026,6771,2754.23,5411,126162.23,1271.79,7630.77,6034,14936.56,111225.67,PAID
EMP0012,2025-12,108400,12306,5942,1446.2,0,128094.2,2145.42,8338.46,3342,13825.88,114268.32,PAID
EMP0013,2025-12,91000,12041,5948,1957.81,0,110946.81,612.5,10500,0,11112.5,99834.31,PAID
EMP0014,2025-12,84800,9865,5788,825.58,0,101278.58,998.85,6523.08,0,7521.93,93756.65,PAID
EMP0015,2025-12,77100,8994,6098,4531.48,0,96723.48,796.95,5930.77,7011,13738.72,82984.76,PAID
EMP0016,2025-12,76500,12793,4003,1213.7,0,94509.7,1109.5,5884.62,0,6994.12,87515.58,PAID
EMP0017,2025-12,61700,11351,5714,1357.1,0,80122.1,1072.83,2373.08,0,3445.91,76676.19,PAID
EMP0018,2025-12,57200,10501,4958,3217.5,0,75876.5,994.58,4400,0,5394.58,70481.92,PAID
EMP0019,2025-12,56400,9089,4945,2237.02,0,72671.02,262.12,0,0,262.12,72408.9,PAID
EMP0020,2025-12,63500,10651,4587,259.5,0,78997.5,55.97,0,0,55.97,78941.53,PAID
EMP0022,2025-12,56800,10619,6323,798.75,0,74540.75,36.41,0,0,36.41,74504.34,PAID
EMP0023,2025-12,61100,10819,4074,1042.81,0,77035.81,832.29,2350,0,3182.29,73853.52,PAID
EMP0024,2025-12,57000,10785,6534,1925.12,5621,81865.12,178.13,0,0,178.13,81686.99,PAID
EMP0025,2025-12,63600,10223,4696,1368.32,0,79887.32,1105.87,0,0,1105.87,78781.45,PAID
EMP0026,2025-12,51900,10577,4002,1734.16,0,68213.16,790.14,3992.31,0,4782.45,63430.71,PAID
EMP0027,2025-12,63500,11190,4146,1640.93,0,80476.93,1185.54,4884.62,6237,12307.16,68169.77,PAID
EMP0028,2025-12,59200,9985,4071,1551.15,12373,87180.15,203.97,0,0,203.97,86976.18,PAID
EMP0029,2025-12,63500,9676,4823,1045.61,0,79044.61,55.97,2442.31,0,2498.28,76546.33,PAID
EMP0030,2025-12,59500,8309,6376,700.84,0,74885.84,462.46,4576.92,0,5039.38,69846.46,PAID
EMP0031,2025-12,64900,11648,5674,1833.11,10846,94901.11,239.21,0,0,239.21,94661.9,PAID
EMP0032,2025-12,64500,10233,6986,1372.18,0,83091.18,697.72,4961.54,0,5659.26,77431.92,PAID
EMP0033,2025-12,57000,10443,6900,2548.56,0,76891.56,1251.44,4384.62,0,5636.06,71255.5,PAID
EMP0034,2025-12,62600,10489,4289,2204.54,0,79582.54,536.71,2407.69,0,2944.4,76638.14,PAID
EMP0035,2025-12,58400,11547,4551,1137.12,0,75635.12,1197.95,0,0,1197.95,74437.17,PAID
EMP0037,2025-12,40000,10949,6833,673.08,0,58455.08,342.95,0,0,342.95,58112.13,PAID
EMP0038,2025-12,43400,10275,5004,1726.61,0,60405.61,375.58,1669.23,0,2044.81,58360.8,PAID
EMP0039,2025-12,40900,10770,6740,353.94,0,58763.94,203.19,3146.15,0,3349.34,55414.6,PAID
EMP0040,2025-12,39600,9933,5461,1789.62,0,56783.62,685.38,3046.15,0,3731.53,53052.09,PAID
EMP0041,2025-12,45900,10695,5857,794.42,0,63246.42,478.13,5296.15,0,5774.28,57472.14,PAID
EMP0042,2025-12,42300,9285,6897,747.37,0,59229.37,1176.13,3253.85,0,4429.98,54799.39,PAID
EMP0043,2025-12,45500,11840,4936,2258.59,0,64534.59,0,0,0,0,64534.59,PAID
EMP0044,2025-12,41000,10675,6076,990.5,0,58741.5,216.83,4730.77,0,4947.6,53793.9,PAID
EMP0045,2025-12,39200,11262,6372,471.15,0,57305.15,358.08,6030.77,0,6388.85,50916.3,PAID
EMP0046,2025-12,41400,9469,6435,1915.75,0,59219.75,182.45,0,2506,2688.45,56531.3,PAID
EMP0047,2025-12,29900,12909,5503,1753.75,0,50065.75,241.98,2300,0,2541.98,47523.77,PAID
EMP0049,2025-12,185500,10876,0,6510.34,0,202886.34,2571.43,0,2414,4985.43,197900.91,PAID
EMP0050,2025-12,86500,12786,6780,1195.61,0,107261.61,1774.36,9980.77,0,11755.13,95506.48,PAID
EMP0051,2025-12,94900,10696,4682,456.25,0,110734.25,1247.08,10950,0,12197.08,98537.17,PAID
EMP0052,2025-12,53000,9089,4905,1375.96,0,68369.96,632.77,2038.46,0,2671.23,65698.73,PAID
EMP0054,2025-12,52200,11321,6192,232.14,9019,78964.14,1367.74,2007.69,0,3375.43,75588.71,PAID
EMP0055,2025-12,59100,10764,5689,255.72,0,75808.72,1221.78,4546.15,0,5767.93,70040.79,PAID
EMP0057,2025-12,52200,11604,5029,1913.58,0,70746.58,221.68,8030.77,0,8252.45,62494.13,PAID
EMP0059,2025-12,57900,9884,6821,800.3,0,75405.3,491.78,2226.92,4406,7124.7,68280.6,PAID
EMP0061,2025-12,185200,9335,0,4563.22,0,199098.22,3338.94,7123.08,2810,13272.02,185826.2,PAID
EMP0062,2025-12,93500,9710,4457,2595.97,17891,128153.97,1311.1,10788.46,0,12099.56,116054.41,PAID
EMP0063,2025-12,111100,12307,4746,3765.65,0,131918.65,1130.58,0,6442,7572.58,124346.07,PAID
EMP0064,2025-12,55300,10099,6077,564.96,0,72040.96,319.04,2126.92,0,2445.96,69595,PAID
EMP0065,2025-12,67000,11667,4485,1594.47,0,84746.47,461.7,12884.62,0,13346.32,71400.15,PAID
EMP0066,2025-12,53200,9264,5671,2544.9,0,70679.9,1210.64,2046.15,0,3256.79,67423.11,PAID
EMP0067,2025-12,61100,10280,5020,2658.44,0,79058.44,279.06,0,6949,7228.06,71830.38,PAID
EMP0068,2025-12,52900,10884,4494,2015.54,0,70293.54,983.4,0,0,983.4,69310.14,PAID
EMP0069,2025-12,65300,11138,4242,2456.6,12307,95443.6,282.55,2511.54,0,2794.09,92649.51,PAID
EMP0070,2025-12,62900,9057,6160,415.81,0,78532.81,786.25,9676.92,0,10463.17,68069.64,PAID
EMP0071,2025-12,189900,9842,0,7144.07,6576,213462.07,2754.16,7303.85,0,10058.01,203404.06,PAID
EMP0072,2025-12,99500,10950,0,2846.27,0,113296.27,1482.93,7653.85,0,9136.78,104159.49,PAID
EMP0073,2025-12,92600,9993,0,589.88,0,103182.88,1068.46,17807.69,0,18876.15,84306.73,PAID
EMP0075,2025-12,51100,11438,0,2702.4,0,65240.4,356.23,0,0,356.23,64884.17,PAID
EMP0076,2025-12,52100,9764,0,1665.7,0,63529.7,421.64,2003.85,0,2425.49,61104.21,PAID
EMP0077,2025-12,44100,9240,0,3657.33,0,56997.33,575.99,0,0,575.99,56421.34,PAID
EMP0078,2025-12,49700,12564,0,215.05,0,62479.05,410.18,0,0,410.18,62068.87,PAID
EMP0079,2025-12,53500,11995,0,2334.19,0,67829.19,377.24,4115.38,0,4492.62,63336.57,PAID
EMP0080,2025-12,53200,8919,0,1272.45,0,63391.45,383.65,2046.15,0,2429.8,60961.65,PAID
EMP0082,2025-12,47300,9269,0,1336,0,57905,1000.58,7276.92,0,8277.5,49627.5,PAID
EMP0083,2025-12,191100,10620,0,2710.31,15616,220046.31,1010.63,0,0,1010.63,219035.68,PAID
EMP0084,2025-12,150200,11291,0,5885.24,0,167376.24,1901.57,11553.85,0,13455.42,153920.82,PAID
EMP0085,2025-12,72800,10892,0,2686.25,0,86378.25,478.33,5600,0,6078.33,80299.92,PAID
EMP0086,2025-12,77700,12536,0,2110.6,0,92346.6,136.97,0,0,136.97,92209.63,PAID
EMP0087,2025-12,66000,10890,0,1983.17,0,78873.17,1232.21,2538.46,0,3770.67,75102.5,PAID
EMP0088,2025-12,72800,10205,0,647.5,0,83652.5,554.17,2800,0,3354.17,80298.33,PAID
EMP0089,2025-12,76400,9843,0,2047.74,0,88290.74,795.83,0,0,795.83,87494.91,PAID
