employee_code,period,kpi_score,manager_score,final_score,rating,status
EMP0092,2025-11,85.52,86.09,85.69,Very Good,FINALIZED
EMP0093,2025-11,84.2,88.53,85.5,Very Good,FINALIZED
EMP0094,2025-11,77.8,80.54,78.62,Good,FINALIZED
EMP0095,2025-11,83.32,88.29,84.81,Very Good,FINALIZED
EMP0096,2025-11,91.72,86.26,90.08,Outstanding,FINALIZED
EMP0097,2025-11,96.6,94.79,96.06,Outstanding,FINALIZED
EMP0098,2025-11,90.55,95.02,91.89,Outstanding,FINALIZED
EMP0100,2025-11,60.1,65.99,61.87,Satisfactory,FINALIZED
EMP0001,2025-12,80.52,74.81,78.81,Good,FINALIZED
EMP0002,2025-12,85.5,87.96,86.24,Very Good,FINALIZED
EMP0003,2025-12,85.42,81.06,84.11,Very Good,FINALIZED
EMP0004,2025-12,96.01,88.86,93.87,Outstanding,FINALIZED
EMP0005,2025-12,80.82,82.08,81.2,Very Good,FINALIZED
EMP0007,2025-12,105.4,100,103.78,Outstanding,FINALIZED
EMP0008,2025-12,84.16,77.48,82.16,Very Good,FINALIZED
EMP0009,2025-12,82.95,79.09,81.79,Very Good,FINALIZED
EMP0010,2025-12,75.13,80.67,76.79,Good,FINALIZED
EMP0011,2025-12,93.34,87.22,91.5,Outstanding,FINALIZED
EMP0012,2025-12,91.26,96.73,92.9,Outstanding,FINALIZED
EMP0013,2025-12,107.47,100,105.23,Outstanding,FINALIZED
EMP0014,2025-12,84.35,78.92,82.72,Very Good,FINALIZED
EMP0015,2025-12,90.12,88.04,89.5,Very Good,FINALIZED
EMP0016,2025-12,88.71,85.54,87.76,Very Good,FINALIZED
EMP0017,2025-12,84.59,86.65,85.21,Very Good,FINALIZED
EMP0018,2025-12,83.66,82.76,83.39,Very Good,FINALIZED
EMP0019,2025-12,89.73,93.19,90.77,Outstanding,FINALIZED
EMP0020,2025-12,87.45,82.24,85.89,Very Good,FINALIZED
EMP0022,2025-12,87.41,85.54,86.85,Very Good,FINALIZED
EMP0023,2025-12,109.01,100,106.31,Outstanding,FINALIZED
EMP0024,2025-12,92.38,95.52,93.32,Outstanding,FINALIZED
EMP0025,2025-12,89.5,86.47,88.59,Very Good,FINALIZED
EMP0026,2025-12,104.64,100,103.25,Outstanding,FINALIZED
EMP0027,2025-12,106.78,100,104.75,Outstanding,FINALIZED
EMP0028,2025-12,93.83,93.98,93.88,Outstanding,FINALIZED
EMP0029,2025-12,78.87,81.94,79.79,Good,FINALIZED
EMP0030,2025-12,79.08,84.42,80.68,Very Good,FINALIZED
EMP0031,2025-12,90.43,88.99,90,Outstanding,FINALIZED
EMP0032,2025-12,109.75,100,106.82,Outstanding,FINALIZED
EMP0033,2025-12,84.23,89.48,85.81,Very Good,FINALIZED
EMP0034,2025-12,92.06,89.82,91.39,Outstanding,FINALIZED
EMP0035,2025-12,78.09,79.17,78.41,Good,FINALIZED
EMP0037,2025-12,91.58,83.64,89.2,Very Good,FINALIZED
EMP0038,2025-12,93.57,92.79,93.34,Outstanding,FINALIZED
EMP0039,2025-12,93.29,90.63,92.49,Outstanding,FINALIZED
EMP0040,2025-12,89.21,89.54,89.31,Very Good,FINALIZED
EMP0041,2025-12,87.29,88.5,87.65,Very Good,FINALIZED
EMP0042,2025-12,85.86,91.5,87.55,Very Good,FINALIZED
EMP0043,2025-12,94.11,89.73,92.8,Outstanding,FINALIZED
EMP0044,2025-12,111.69,100,108.18,Outstanding,FINALIZED
EMP0045,2025-12,85.94,80.8,84.4,Very Good,FINALIZED
EMP0046,2025-12,75.33,71.49,74.18,Good,FINALIZED
EMP0047,2025-12,90.09,91.07,90.38,Outstanding,FINALIZED
EMP0049,2025-12,67.61,69.36,68.13,Satisfactory,FINALIZED
EMP0050,2025-12,69.37,66.03,68.37,Satisfactory,FINALIZED
EMP0051,2025-12,74.79,72.23,74.02,Good,FINALIZED
EMP0052,2025-12,78.38,83.13,79.8,Good,FINALIZED
EMP0054,2025-12,69.53,62.16,67.32,Satisfactory,FINALIZED
EMP0055,2025-12,73.7,76.47,74.53,Good,FINALIZED
EMP0057,2025-12,76.75,72.05,75.34,Good,FINALIZED
EMP0059,2025-12,76.72,80.46,77.84,Good,FINALIZED
EMP0061,2025-12,77.48,69.62,75.12,Good,FINALIZED
EMP0062,2025-12,77.01,76.92,76.98,Good,FINALIZED
EMP0063,2025-12,75.23,77.59,75.94,Good,FINALIZED
EMP0064,2025-12,84.67,79.65,83.16,Very Good,FINALIZED
EMP0065,2025-12,95.54,87.83,93.23,Outstanding,FINALIZED
EMP0066,2025-12,64.29,58.35,62.51,Satisfactory,FINALIZED
EMP0067,2025-12,90.07,82.67,87.85,Very Good,FINALIZED
EMP0068,2025-12,84.54,83,84.08,Very Good,FINALIZED
EMP0069,2025-12,83.45,80.76,82.64,Very Good,FINALIZED
EMP0070,2025-12,76.88,74.31,76.11,Good,FINALIZED
EMP0071,2025-12,82.57,87.53,84.06,Very Good,FINALIZED
EMP0072,2025-12,64.18,63.35,63.93,Satisfactory,FINALIZED
EMP0073,2025-12,76.43,68.8,74.14,Good,FINALIZED
EMP0075,2025-12,81.3,79.6,80.79,Very Good,FINALIZED
EMP0076,2025-12,82.87,83.87,83.17,Very Good,FINALIZED
EMP0077,2025-12,82.45,88.17,84.17,Very Good,FINALIZED
EMP0078,2025-12,85.4,78.5,83.33,Very Good,FINALIZED
EMP0079,2025-12,84.85,83.77,84.53,Very Good,FINALIZED
EMP0080,2025-12,100.26,94.5,98.53,Outstanding,FINALIZED
EMP0082,2025-12,76.56,73.01,75.5,Good,FINALIZED
EMP0083,2025-12,86.3,79.76,84.34,Very Good,FINALIZED
EMP0084,2025-12,74.18,74.13,74.16,Good,FINALIZED
EMP0085,2025-12,82.77,75.11,80.47,Very Good,FINALIZED
EMP0086,2025-12,88.14,92.96,89.59,Very Good,FINALIZED
EMP0087,2025-12,85.53,78.35,83.38,Very Good,FINALIZED
EMP0088,2025-12,87.58,80.86,85.56,Very Good,FINALIZED
EMP0089,2025-12,79.07,81.51,79.8,Good,FINALIZED
EMP0091,2025-12,71.34,71.45,71.37,Good,FINALIZED
EMP0092,2025-12,86.54,82.55,85.34,Very Good,FINALIZED
EMP0093,2025-12,86.44,84.21,85.77,Very Good,FINALIZED
EMP0094,2025-12,77.81,79.81,78.41,Good,FINALIZED
EMP0095,2025-12,83.52,86.29,84.35,Very Good,FINALIZED
EMP0096,2025-12,89.22,85.52,88.11,Very Good,FINALIZED
EMP0097,2025-12,99.58,100,99.71,Outstanding,FINALIZED
EMP0098,2025-12,93.78,86.06,91.46,Outstanding,FINALIZED
EMP0100,2025-12,58.03,57.59,57.9,Needs Improvement,FINALIZED
EMP0001,2026-01,78.82,81.89,79.74,Good,FINALIZED
EMP0002,2026-01,85.29,87.52,85.96,Very Good,FINALIZED
EMP0003,2026-01,92.61,86.7,90.84,Outstanding,FINALIZED
EMP0004,2026-01,93.62,85.86,91.29,Outstanding,FINALIZED
EMP0005,2026-01,88.69,94.32,90.38,Outstanding,FINALIZED
EMP0007,2026-01,106.72,100,104.7,Outstanding,FINALIZED
EMP0008,2026-01,90.93,90.84,90.9,Outstanding,FINALIZED
EMP0009,2026-01,85.1,82.95,84.46,Very Good,FINALIZED
EMP0010,2026-01,78.17,72.53,76.48,Good,FINALIZED
EMP0011,2026-01,91.04,94.04,91.94,Outstanding,FINALIZED
EMP0012,2026-01,91.88,94.8,92.76,Outstanding,FINALIZED
EMP0013,2026-01,107.11,100,104.98,Outstanding,FINALIZED
EMP0014,2026-01,85.42,79.91,83.77,Very Good,FINALIZED
EMP0015,2026-01,86.24,83.41,85.39,Very Good,FINALIZED
EMP0016,2026-01,89.43,87.31,88.79,Very Good,FINALIZED
EMP0017,2026-01,91.21,93.34,91.85,Outstanding,FINALIZED
EMP0018,2026-01,85.88,89.47,86.96,Very Good,FINALIZED
EMP0019,2026-01,95.35,96.78,95.78,Outstanding,FINALIZED
EMP0020,2026-01,92.11,93.77,92.61,Outstanding,FINALIZED
EMP0022,2026-01,92.48,92.72,92.55,Outstanding,FINALIZED
EMP0023,2026-01,113.86,100,109.7,Outstanding,FINALIZED
EMP0024,2026-01,89.07,87.58,88.62,Very Good,FINALIZED
EMP0025,2026-01,89.67,90.82,90.02,Outstanding,FINALIZED
EMP0026,2026-01,111.4,100,107.98,Outstanding,FINALIZED
EMP0027,2026-01,107.45,100,105.22,Outstanding,FINALIZED
EMP0028,2026-01,88.78,82.96,87.03,Very Good,FINALIZED
EMP0029,2026-01,76.64,73.1,75.58,Good,FINALIZED
EMP0030,2026-01,80.27,85.54,81.85,Very Good,FINALIZED
EMP0031,2026-01,92.55,98.12,94.22,Outstanding,FINALIZED
EMP0032,2026-01,107.11,100,104.98,Outstanding,FINALIZED
EMP0033,2026-01,87.8,84.45,86.79,Very Good,FINALIZED
EMP0034,2026-01,91.67,83.81,89.31,Very Good,FINALIZED
EMP0035,2026-01,78.54,83.43,80.01,Very Good,FINALIZED
EMP0037,2026-01,95.36,97.07,95.87,Outstanding,FINALIZED
EMP0038,2026-01,92.27,86.88,90.65,Outstanding,FINALIZED
EMP0039,2026-01,94.14,88.51,92.45,Outstanding,FINALIZED
EMP0040,2026-01,88.44,80.47,86.05,Very Good,FINALIZED
EMP0041,2026-01,90.59,90.23,90.48,Outstanding,FINALIZED
EMP0042,2026-01,83.54,88.89,85.15,Very Good,FINALIZED
EMP0043,2026-01,91.77,92.1,91.87,Outstanding,FINALIZED
EMP0044,2026-01,111.99,100,108.39,Outstanding,FINALIZED
EMP0045,2026-01,89.23,86.66,88.46,Very Good,FINALIZED
EMP0046,2026-01,79.05,74.65,77.73,Good,FINALIZED
EMP0047,2026-01,91.93,93.2,92.31,Outstanding,FINALIZED
EMP0049,2026-01,67.17,71.81,68.56,Satisfactory,FINALIZED
EMP0050,2026-01,79.22,77.39,78.67,Good,FINALIZED
EMP0051,2026-01,66.25,67.47,66.62,Satisfactory,FINALIZED
EMP0052,2026-01,71.94,68.58,70.93,Good,FINALIZED
EMP0054,2026-01,77.21,75.57,76.72,Good,FINALIZED
EMP0055,2026-01,76.72,81.88,78.27,Good,FINALIZED
EMP0057,2026-01,77.21,79.88,78.01,Good,FINALIZED
EMP0059,2026-01,76.72,76.62,76.69,Good,FINALIZED
EMP0061,2026-01,80.21,84.7,81.56,Very Good,FINALIZED
EMP0062,2026-01,66.2,61.49,64.79,Satisfactory,FINALIZED
EMP0063,2026-01,73.73,77.93,74.99,Good,FINALIZED
EMP0064,2026-01,81.6,78.47,80.66,Very Good,FINALIZED
EMP0065,2026-01,101.34,100,100.94,Outstanding,FINALIZED
EMP0066,2026-01,61.81,66.03,63.08,Satisfactory,FINALIZED
EMP0067,2026-01,89.44,84.4,87.93,Very Good,FINALIZED
EMP0068,2026-01,88.52,92.17,89.62,Very Good,FINALIZED
EMP0069,2026-01,88.76,88.91,88.81,Very Good,FINALIZED
EMP0070,2026-01,84.5,85.55,84.82,Very Good,FINALIZED
EMP0071,2026-01,85.8,84.94,85.54,Very Good,FINALIZED
EMP0072,2026-01,70.11,72.6,70.86,Good,FINALIZED
EMP0073,2026-01,80.61,73.82,78.57,Good,FINALIZED
EMP0075,2026-01,79.54,74.68,78.08,Good,FINALIZED
EMP0076,2026-01,79.91,78.02,79.34,Good,FINALIZED
EMP0077,2026-01,80.51,78.26,79.84,Good,FINALIZED
EMP0078,2026-01,88.24,83.61,86.85,Very Good,FINALIZED
EMP0079,2026-01,70.39,66.18,69.13,Satisfactory,FINALIZED
EMP0080,2026-01,95.39,99.31,96.57,Outstanding,FINALIZED
EMP0082,2026-01,74.64,72.98,74.14,Good,FINALIZED
EMP0083,2026-01,86.46,85.43,86.15,Very Good,FINALIZED
EMP0084,2026-01,79.5,80.29,79.74,Good,FINALIZED
EMP0085,2026-01,82.38,78.15,81.11,Very Good,FINALIZED
EMP0086,2026-01,90.18,86.43,89.06,Very Good,FINALIZED
EMP0087,2026-01,85.89,87.86,86.48,Very Good,FINALIZED
EMP0088,2026-01,82.2,80.88,81.8,Very Good,FINALIZED
EMP0089,2026-01,86.85,83.82,85.94,Very Good,FINALIZED
EMP0091,2026-01,73.36,72.89,73.22,Good,FINALIZED
EMP0092,2026-01,86.25,80.5,84.53,Very Good,FINALIZED
EMP0093,2026-01,81.59,85.07,82.63,Very Good,FINALIZED
EMP0094,2026-01,79.69,79.72,79.7,Good,FINALIZED
EMP0095,2026-01,86.67,85.03,86.18,Very Good,FINALIZED
EMP0096,2026-01,96.89,96.12,96.66,Outstanding,FINALIZED
EMP0097,2026-01,94.18,96.92,95,Outstanding,FINALIZED
EMP0098,2026-01,96.27,93.07,95.31,Outstanding,FINALIZED
EMP0100,2026-01,63.51,56.58,61.43,Satisfactory,FINALIZED
EMP0001,2026-02,82.73,81.36,82.32,Very Good,FINALIZED
EMP0002,2026-02,84.18,77.56,82.19,Very Good,FINALIZED
EMP0003,2026-02,93.83,95.47,94.32,Outstanding,FINALIZED
EMP0004,2026-02,98.48,90.93,96.21,Outstanding,FINALIZED
EMP0005,2026-02,81.94,80.23,81.43,Very Good,FINALIZED
EMP0007,2026-02,103.8,100,102.66,Outstanding,FINALIZED
EMP0008,2026-02,79.35,85.12,81.08,Very Good,FINALIZED
EMP0009,2026-02,82.96,75.21,80.63,Very Good,FINALIZED
EMP0010,2026-02,79.68,82.43,80.51,Very Good,FINALIZED
EMP0011,2026-02,94.88,100,96.42,Outstanding,FINALIZED
EMP0012,2026-02,93.31,98.37,94.83,Outstanding,FINALIZED
EMP0013,2026-02,108.93,100,106.25,Outstanding,FINALIZED
EMP0014,2026-02,85.83,91.2,87.44,Very Good,FINALIZED
EMP0015,2026-02,84.29,85.29,84.59,Very Good,FINALIZED
EMP0016,2026-02,84.93,90.42,86.58,Very Good,FINALIZED
EMP0017,2026-02,86.75,88.37,87.24,Very Good,FINALIZED
EMP0018,2026-02,84.57,82.34,83.9,Very Good,FINALIZED
EMP0019,2026-02,96.53,92.22,95.24,Outstanding,FINALIZED
EMP0020,2026-02,91.3,83.71,89.02,Very Good,FINALIZED
EMP0021,2026-02,105.83,100,104.08,Outstanding,FINALIZED
EMP0022,2026-02,92.52,91.09,92.09,Outstanding,FINALIZED
EMP0023,2026-02,108.79,100,106.15,Outstanding,FINALIZED
EMP0024,2026-02,94.67,92.7,94.08,Outstanding,FINALIZED
EMP0025,2026-02,89.87,94.61,91.29,Outstanding,FINALIZED
EMP0026,2026-02,110.42,100,107.29,Outstanding,FINALIZED
EMP0027,2026-02,109.81,100,106.87,Outstanding,FINALIZED
EMP0028,2026-02,90.79,94.64,91.95,Outstanding,FINALIZED
EMP0029,2026-02,78.59,80.99,79.31,Good,FINALIZED
EMP0030,2026-02,76.52,78.85,77.22,Good,FINALIZED
EMP0031,2026-02,93.98,87.62,92.07,Outstanding,FINALIZED
EMP0032,2026-02,110.59,100,107.41,Outstanding,FINALIZED
EMP0033,2026-02,82.76,85.1,83.46,Very Good,FINALIZED
EMP0034,2026-02,91.92,89.1,91.07,Outstanding,FINALIZED
EMP0035,2026-02,77.02,73.02,75.82,Good,FINALIZED
EMP0037,2026-02,96.46,98.57,97.09,Outstanding,FINALIZED
EMP0038,2026-02,92.58,95.79,93.54,Outstanding,FINALIZED
EMP0039,2026-02,89.89,92.76,90.75,Outstanding,FINALIZED
EMP0040,2026-02,84.73,85.32,84.91,Very Good,FINALIZED
EMP0041,2026-02,85.33,89.78,86.67,Very Good,FINALIZED
EMP0042,2026-02,87.27,83.59,86.17,Very Good,FINALIZED
EMP0043,2026-02,92.57,89.49,91.65,Outstanding,FINALIZED
EMP0044,2026-02,111.29,100,107.9,Outstanding,FINALIZED
EMP0045,2026-02,87.98,82.73,86.41,Very Good,FINALIZED
EMP0046,2026-02,82.15,87.03,83.61,Very Good,FINALIZED
EMP0047,2026-02,88.42,83.86,87.05,Very Good,FINALIZED
EMP0049,2026-02,65.96,66.75,66.2,Satisfactory,FINALIZED
EMP0050,2026-02,72.73,65.84,70.66,Good,FINALIZED
EMP0051,2026-02,75.23,76.03,75.47,Good,FINALIZED
EMP0052,2026-02,74.2,76.06,74.76,Good,FINALIZED
EMP0054,2026-02,76.58,74.96,76.09,Good,FINALIZED
EMP0055,2026-02,74.63,70.36,73.35,Good,FINALIZED
EMP0057,2026-02,74.2,72.6,73.72,Good,FINALIZED
EMP0059,2026-02,80.68,76.22,79.34,Good,FINALIZED
