employee_code,date,shift,check_in,check_out,regular_minutes,late_minutes,early_leave_minutes,overtime_minutes,status
EMP0001,2025-12-12,GENERAL,2025-12-12 09:02:00,2025-12-12 17:30:00,508,32,0,0,PRESENT
EMP0001,2025-12-15,GENERAL,2025-12-15 08:45:00,2025-12-15 17:30:00,525,15,0,0,PRESENT
EMP0001,2025-12-16,GENERAL,2025-12-16 09:08:00,2025-12-16 17:30:00,502,38,0,0,PRESENT
EMP0001,2025-12-17,GENERAL,2025-12-17 08:30:00,2025-12-17 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-18,GENERAL,2025-12-18 08:35:00,2025-12-18 17:30:00,535,5,0,0,PRESENT
EMP0001,2025-12-19,GENERAL,2025-12-19 08:30:00,2025-12-19 17:21:00,531,0,9,0,PRESENT
EMP0001,2025-12-22,GENERAL,2025-12-22 08:46:00,2025-12-22 18:03:00,524,16,0,33,PRESENT
EMP0001,2025-12-23,GENERAL,2025-12-23 08:30:00,2025-12-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-24,GENERAL,2025-12-24 08:30:00,2025-12-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-25,GENERAL,,,0,0,0,0,HOLIDAY
EMP0001,2025-12-26,GENERAL,2025-12-26 08:30:00,2025-12-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-29,GENERAL,2025-12-29 08:30:00,2025-12-29 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-30,GENERAL,2025-12-30 08:30:00,2025-12-30 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-31,GENERAL,,,0,0,0,0,HOLIDAY
EMP0001,2026-01-01,GENERAL,,,0,0,0,0,HOLIDAY
EMP0001,2026-01-02,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-01-05,GENERAL,2026-01-05 08:30:00,2026-01-05 19:15:00,540,0,0,105,PRESENT
EMP0001,2026-01-06,GENERAL,2026-01-06 08:30:00,2026-01-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-07,GENERAL,2026-01-07 08:30:00,2026-01-07 18:48:00,540,0,0,78,PRESENT
EMP0001,2026-01-08,GENERAL,2026-01-08 08:30:00,2026-01-08 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-09,GENERAL,2026-01-09 08:30:00,2026-01-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-12,GENERAL,2026-01-12 08:30:00,2026-01-12 18:47:00,514,0,26,103,PRESENT
EMP0001,2026-01-13,GENERAL,2026-01-13 08:45:00,2026-01-13 17:30:00,525,15,0,0,PRESENT
EMP0001,2026-01-14,GENERAL,2026-01-14 08:52:00,2026-01-14 17:30:00,518,22,0,0,PRESENT
EMP0001,2026-01-15,GENERAL,2026-01-15 08:36:00,2026-01-15 17:30:00,534,6,0,0,PRESENT
EMP0001,2026-01-16,GENERAL,2026-01-16 08:30:00,2026-01-16 18:09:00,540,0,0,39,PRESENT
EMP0001,2026-01-19,GENERAL,2026-01-19 08:30:00,2026-01-19 17:13:00,523,0,17,0,PRESENT
EMP0001,2026-01-20,GENERAL,2026-01-20 08:30:00,2026-01-20 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-21,GENERAL,2026-01-21 09:11:00,2026-01-21 17:30:00,499,41,0,0,PRESENT
EMP0001,2026-01-22,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-01-23,GENERAL,2026-01-23 08:30:00,2026-01-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-26,GENERAL,2026-01-26 08:30:00,2026-01-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-01-27,GENERAL,2026-01-27 08:38:00,2026-01-27 18:15:00,532,8,0,45,PRESENT
EMP0001,2026-01-28,GENERAL,2026-01-28 09:05:00,2026-01-28 17:30:00,505,35,0,0,PRESENT
EMP0001,2026-01-29,GENERAL,2026-01-29 08:53:00,2026-01-29 18:30:00,517,23,0,60,PRESENT
EMP0001,2026-01-30,GENERAL,2026-01-30 09:08:00,2026-01-30 17:30:00,502,38,0,0,PRESENT
EMP0001,2026-02-02,GENERAL,2026-02-02 08:30:00,2026-02-02 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-03,GENERAL,2026-02-03 08:30:00,2026-02-03 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-04,GENERAL,,,0,0,0,0,HOLIDAY
EMP0001,2026-02-05,GENERAL,2026-02-05 08:30:00,2026-02-05 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-06,GENERAL,2026-02-06 08:30:00,2026-02-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-09,GENERAL,2026-02-09 08:30:00,2026-02-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-10,GENERAL,2026-02-10 08:30:00,2026-02-10 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-11,GENERAL,2026-02-11 08:30:00,2026-02-11 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-12,GENERAL,2026-02-12 08:30:00,2026-02-12 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-13,GENERAL,2026-02-13 08:56:00,2026-02-13 17:14:00,498,26,16,0,PRESENT
EMP0001,2026-02-16,GENERAL,2026-02-16 08:45:00,2026-02-16 18:01:00,525,15,0,31,PRESENT
EMP0001,2026-02-17,GENERAL,2026-02-17 08:54:00,2026-02-17 17:30:00,516,24,0,0,PRESENT
EMP0001,2026-02-18,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-02-19,GENERAL,2026-02-19 08:30:00,2026-02-19 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-20,GENERAL,2026-02-20 08:30:00,2026-02-20 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-23,GENERAL,2026-02-23 08:30:00,2026-02-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-24,GENERAL,2026-02-24 09:02:00,2026-02-24 17:30:00,508,32,0,0,PRESENT
EMP0001,2026-02-25,GENERAL,2026-02-25 08:30:00,2026-02-25 18:59:00,540,0,0,89,PRESENT
EMP0001,2026-02-26,GENERAL,2026-02-26 08:30:00,2026-02-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-02-27,GENERAL,2026-02-27 08:38:00,2026-02-27 19:01:00,532,8,0,91,PRESENT
EMP0001,2026-03-02,GENERAL,2026-03-02 08:30:00,2026-03-02 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-03,GENERAL,2026-03-03 08:30:00,2026-03-03 19:07:00,540,0,0,97,PRESENT
EMP0001,2026-03-04,GENERAL,2026-03-04 08:30:00,2026-03-04 18:38:00,540,0,0,68,PRESENT
EMP0001,2026-03-05,GENERAL,2026-03-05 08:30:00,2026-03-05 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-06,GENERAL,2026-03-06 08:30:00,2026-03-06 19:17:00,540,0,0,107,PRESENT
EMP0001,2026-03-09,GENERAL,2026-03-09 08:30:00,2026-03-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-10,GENERAL,2026-03-10 08:30:00,2026-03-10 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-11,GENERAL,2026-03-11 08:30:00,2026-03-11 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-12,GENERAL,2026-03-12 08:43:00,2026-03-12 17:30:00,527,13,0,0,PRESENT
EMP0001,2026-03-13,GENERAL,2026-03-13 08:38:00,2026-03-13 17:30:00,532,8,0,0,PRESENT
EMP0001,2026-03-16,GENERAL,2026-03-16 08:30:00,2026-03-16 17:22:00,532,0,8,0,PRESENT
EMP0001,2026-03-17,GENERAL,2026-03-17 08:45:00,2026-03-17 17:53:00,525,15,0,23,PRESENT
EMP0001,2026-03-18,GENERAL,2026-03-18 08:30:00,2026-03-18 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-19,GENERAL,2026-03-19 08:30:00,2026-03-19 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-20,GENERAL,2026-03-20 08:30:00,2026-03-20 19:11:00,540,0,0,101,PRESENT
EMP0001,2026-03-23,GENERAL,2026-03-23 08:30:00,2026-03-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-24,GENERAL,2026-03-24 08:36:00,2026-03-24 18:13:00,534,6,0,43,PRESENT
EMP0001,2026-03-25,GENERAL,2026-03-25 08:30:00,2026-03-25 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-26,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-03-27,GENERAL,2026-03-27 08:59:00,2026-03-27 17:30:00,511,29,0,0,PRESENT
EMP0001,2026-03-30,GENERAL,2026-03-30 08:30:00,2026-03-30 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-03-31,GENERAL,2026-03-31 08:55:00,2026-03-31 17:10:00,495,25,20,0,PRESENT
EMP0001,2026-04-01,GENERAL,2026-04-01 08:30:00,2026-04-01 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-02,GENERAL,2026-04-02 08:30:00,2026-04-02 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-03,GENERAL,2026-04-03 08:30:00,2026-04-03 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-06,GENERAL,2026-04-06 08:30:00,2026-04-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-07,GENERAL,2026-04-07 09:00:00,2026-04-07 17:30:00,510,30,0,0,PRESENT
EMP0001,2026-04-08,GENERAL,2026-04-08 08:35:00,2026-04-08 17:30:00,535,5,0,0,PRESENT
EMP0001,2026-04-09,GENERAL,2026-04-09 08:30:00,2026-04-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-10,GENERAL,2026-04-10 08:30:00,2026-04-10 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-13,GENERAL,2026-04-13 08:30:00,2026-04-13 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-14,GENERAL,2026-04-14 08:30:00,2026-04-14 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-15,GENERAL,2026-04-15 08:30:00,2026-04-15 18:45:00,540,0,0,75,PRESENT
EMP0001,2026-04-16,GENERAL,2026-04-16 08:30:00,2026-04-16 18:17:00,540,0,0,47,PRESENT
EMP0001,2026-04-17,GENERAL,2026-04-17 08:49:00,2026-04-17 17:30:00,521,19,0,0,PRESENT
EMP0001,2026-04-20,GENERAL,2026-04-20 08:30:00,2026-04-20 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-21,GENERAL,2026-04-21 08:30:00,2026-04-21 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-22,GENERAL,2026-04-22 08:30:00,2026-04-22 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-23,GENERAL,2026-04-23 08:30:00,2026-04-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-24,GENERAL,2026-04-24 08:30:00,2026-04-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-27,GENERAL,2026-04-27 08:30:00,2026-04-27 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-28,GENERAL,2026-04-28 08:30:00,2026-04-28 18:45:00,540,0,0,75,PRESENT
EMP0001,2026-04-29,GENERAL,2026-04-29 08:30:00,2026-04-29 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-04-30,GENERAL,2026-04-30 08:30:00,2026-04-30 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-01,GENERAL,,,0,0,0,0,HOLIDAY
EMP0001,2026-05-04,GENERAL,2026-05-04 08:30:00,2026-05-04 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-05,GENERAL,2026-05-05 08:30:00,2026-05-05 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-06,GENERAL,2026-05-06 08:30:00,2026-05-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-07,GENERAL,2026-05-07 08:30:00,2026-05-07 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-08,GENERAL,2026-05-08 08:30:00,2026-05-08 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-11,GENERAL,2026-05-11 08:30:00,2026-05-11 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-12,GENERAL,2026-05-12 08:30:00,2026-05-12 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-13,GENERAL,2026-05-13 09:14:00,2026-05-13 17:30:00,496,44,0,0,PRESENT
EMP0001,2026-05-14,GENERAL,2026-05-14 08:42:00,2026-05-14 17:30:00,528,12,0,0,PRESENT
EMP0001,2026-05-15,GENERAL,2026-05-15 08:47:00,2026-05-15 18:12:00,523,17,0,42,PRESENT
EMP0001,2026-05-18,GENERAL,2026-05-18 08:30:00,2026-05-18 19:22:00,540,0,0,112,PRESENT
EMP0001,2026-05-19,GENERAL,2026-05-19 09:05:00,2026-05-19 19:22:00,505,35,0,112,PRESENT
EMP0001,2026-05-20,GENERAL,2026-05-20 08:30:00,2026-05-20 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-21,GENERAL,2026-05-21 08:30:00,2026-05-21 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-22,GENERAL,2026-05-22 08:30:00,2026-05-22 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-25,GENERAL,2026-05-25 08:30:00,2026-05-25 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-26,GENERAL,2026-05-26 08:30:00,2026-05-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-27,GENERAL,2026-05-27 08:54:00,2026-05-27 17:30:00,516,24,0,0,PRESENT
EMP0001,2026-05-28,GENERAL,2026-05-28 08:30:00,2026-05-28 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-05-29,GENERAL,2026-05-29 08:49:00,2026-05-29 17:30:00,521,19,0,0,PRESENT
EMP0001,2026-06-01,GENERAL,2026-06-01 08:30:00,2026-06-01 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-02,GENERAL,2026-06-02 08:37:00,2026-06-02 17:30:00,533,7,0,0,PRESENT
EMP0001,2026-06-03,GENERAL,2026-06-03 08:30:00,2026-06-03 18:16:00,540,0,0,46,PRESENT
EMP0001,2026-06-04,GENERAL,2026-06-04 08:57:00,2026-06-04 17:30:00,513,27,0,0,PRESENT
EMP0001,2026-06-05,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-06-08,GENERAL,2026-06-08 08:30:00,2026-06-08 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-09,GENERAL,2026-06-09 08:30:00,2026-06-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-10,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-06-11,GENERAL,2026-06-11 08:30:00,2026-06-11 17:04:00,514,0,26,0,PRESENT
EMP0001,2026-06-12,GENERAL,2026-06-12 08:30:00,2026-06-12 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-15,GENERAL,2026-06-15 08:45:00,2026-06-15 17:30:00,525,15,0,0,PRESENT
EMP0001,2026-06-16,GENERAL,2026-06-16 08:47:00,2026-06-16 17:30:00,523,17,0,0,PRESENT
EMP0001,2026-06-17,GENERAL,2026-06-17 08:30:00,2026-06-17 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-18,GENERAL,2026-06-18 09:14:00,2026-06-18 17:30:00,496,44,0,0,PRESENT
EMP0001,2026-06-19,GENERAL,2026-06-19 08:51:00,2026-06-19 17:30:00,519,21,0,0,PRESENT
EMP0001,2026-06-22,GENERAL,2026-06-22 08:30:00,2026-06-22 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-23,GENERAL,2026-06-23 08:46:00,2026-06-23 17:30:00,524,16,0,0,PRESENT
EMP0001,2026-06-24,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-06-25,GENERAL,2026-06-25 08:30:00,2026-06-25 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-26,GENERAL,2026-06-26 08:30:00,2026-06-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-06-29,GENERAL,2026-06-29 08:59:00,2026-06-29 17:30:00,511,29,0,0,PRESENT
EMP0001,2026-06-30,GENERAL,2026-06-30 09:06:00,2026-06-30 13:00:00,270,36,0,0,HALF_DAY
EMP0001,2026-07-01,GENERAL,2026-07-01 09:08:00,2026-07-01 17:30:00,502,38,0,0,PRESENT
EMP0001,2026-07-02,GENERAL,2026-07-02 08:30:00,2026-07-02 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-03,GENERAL,2026-07-03 08:46:00,2026-07-03 17:30:00,524,16,0,0,PRESENT
EMP0001,2026-07-06,GENERAL,2026-07-06 08:30:00,2026-07-06 19:11:00,526,0,14,115,PRESENT
EMP0001,2026-07-07,GENERAL,2026-07-07 08:30:00,2026-07-07 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-08,GENERAL,2026-07-08 09:01:00,2026-07-08 17:59:00,481,31,28,57,PRESENT
EMP0001,2026-07-09,GENERAL,2026-07-09 08:30:00,2026-07-09 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-10,GENERAL,2026-07-10 08:30:00,2026-07-10 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-13,GENERAL,2026-07-13 08:30:00,2026-07-13 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-14,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-07-15,GENERAL,2026-07-15 08:30:00,2026-07-15 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-16,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-07-17,GENERAL,2026-07-17 08:30:00,2026-07-17 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-20,GENERAL,2026-07-20 08:55:00,2026-07-20 18:21:00,515,25,0,51,PRESENT
EMP0001,2026-07-21,GENERAL,2026-07-21 08:30:00,2026-07-21 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-22,GENERAL,2026-07-22 08:30:00,2026-07-22 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-23,GENERAL,2026-07-23 08:30:00,2026-07-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-24,GENERAL,2026-07-24 08:30:00,2026-07-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-27,GENERAL,2026-07-27 08:30:00,2026-07-27 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-28,GENERAL,2026-07-28 08:30:00,2026-07-28 18:10:00,540,0,0,40,PRESENT
EMP0001,2026-07-29,GENERAL,2026-07-29 08:30:00,2026-07-29 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-30,GENERAL,2026-07-30 08:30:00,2026-07-30 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-07-31,GENERAL,2026-07-31 08:30:00,2026-07-31 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-08-03,GENERAL,2026-08-03 08:40:00,2026-08-03 17:30:00,530,10,0,0,PRESENT
EMP0001,2026-08-04,GENERAL,2026-08-04 08:58:00,2026-08-04 17:30:00,512,28,0,0,PRESENT
EMP0001,2026-08-05,GENERAL,2026-08-05 09:15:00,2026-08-05 17:30:00,495,45,0,0,PRESENT
EMP0001,2026-08-06,GENERAL,2026-08-06 09:07:00,2026-08-06 18:52:00,503,37,0,82,PRESENT
EMP0001,2026-08-07,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2026-08-10,GENERAL,2026-08-10 08:30:00,2026-08-10 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-08-11,GENERAL,2026-08-11 08:42:00,2026-08-11 17:30:00,528,12,0,0,PRESENT
EMP0001,2026-08-12,GENERAL,2026-08-12 09:13:00,2026-08-12 19:00:00,497,43,0,90,PRESENT
EMP0001,2026-08-13,GENERAL,2026-08-13 08:30:00,2026-08-13 17:30:00,540,0,0,0,PRESENT
EMP0001,2026-08-14,GENERAL,2026-08-14 08:30:00,2026-08-14 17:48:00,540,0,0,18,PRESENT
EMP0001,2026-08-17,GENERAL,2026-08-17 09:00:00,2026-08-17 17:30:00,510,30,0,0,PRESENT
