employee_code,kpi_code,period,target,actual,achievement_percentage,weight,weighted_score,source
EMP0011,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,79.26,79.26,30,23.78,PRODUCTION
EMP0011,QUALITY_RATE,2025-10,98,97.89,99.89,20,19.98,PRODUCTION
EMP0011,DEFECT_RATE,2025-10,2,2.11,94.9,10,9.49,PRODUCTION
EMP0011,SAFETY_INCIDENTS,2025-10,0,2,100,10,10,PRODUCTION
EMP0012,ATTENDANCE_RATE,2025-10,95,86.96,91.53,20,18.31,ATTENDANCE
EMP0012,PUNCTUALITY,2025-10,90,80,88.89,10,8.89,ATTENDANCE
EMP0012,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,75.78,75.78,30,22.73,PRODUCTION
EMP0012,QUALITY_RATE,2025-10,98,97.68,99.67,20,19.93,PRODUCTION
EMP0012,DEFECT_RATE,2025-10,2,2.32,86.12,10,8.61,PRODUCTION
EMP0012,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0013,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0013,PUNCTUALITY,2025-10,90,77.78,86.42,10,8.64,ATTENDANCE
EMP0013,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,101.17,101.17,30,30.35,PRODUCTION
EMP0013,QUALITY_RATE,2025-10,98,99.59,101.62,20,20.32,PRODUCTION
EMP0013,DEFECT_RATE,2025-10,2,0.41,150,10,15,PRODUCTION
EMP0013,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0014,ATTENDANCE_RATE,2025-10,95,69.57,73.23,20,14.65,ATTENDANCE
EMP0014,PUNCTUALITY,2025-10,90,56.25,62.5,10,6.25,ATTENDANCE
EMP0014,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,76.85,76.85,30,23.06,PRODUCTION
EMP0014,QUALITY_RATE,2025-10,98,95.73,97.68,20,19.54,PRODUCTION
EMP0014,DEFECT_RATE,2025-10,2,4.27,46.81,10,4.68,PRODUCTION
EMP0014,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0015,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0015,PUNCTUALITY,2025-10,90,73.91,82.13,10,8.21,ATTENDANCE
EMP0015,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,72.36,72.36,30,21.71,PRODUCTION
EMP0015,QUALITY_RATE,2025-10,98,96.94,98.92,20,19.78,PRODUCTION
EMP0015,DEFECT_RATE,2025-10,2,3.06,65.33,10,6.53,PRODUCTION
EMP0015,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0016,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0016,PUNCTUALITY,2025-10,90,71.43,79.37,10,7.94,ATTENDANCE
EMP0016,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,69.55,69.55,30,20.87,PRODUCTION
EMP0016,QUALITY_RATE,2025-10,98,96.76,98.74,20,19.75,PRODUCTION
EMP0016,DEFECT_RATE,2025-10,2,3.24,61.8,10,6.18,PRODUCTION
EMP0016,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0017,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0017,PUNCTUALITY,2025-10,90,66.67,74.07,10,7.41,ATTENDANCE
EMP0017,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,74.97,74.97,30,22.49,PRODUCTION
EMP0017,QUALITY_RATE,2025-10,98,95.66,97.61,20,19.52,PRODUCTION
EMP0017,DEFECT_RATE,2025-10,2,4.34,46.04,10,4.6,PRODUCTION
EMP0017,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0018,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0018,PUNCTUALITY,2025-10,90,90.48,100.53,10,10.05,ATTENDANCE
EMP0018,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,62.09,62.09,30,18.63,PRODUCTION
EMP0018,QUALITY_RATE,2025-10,98,95.79,97.74,20,19.55,PRODUCTION
EMP0018,DEFECT_RATE,2025-10,2,4.21,47.5,10,4.75,PRODUCTION
EMP0018,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0019,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0019,PUNCTUALITY,2025-10,90,100,111.11,10,11.11,ATTENDANCE
EMP0019,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,77.05,77.05,30,23.12,PRODUCTION
EMP0019,QUALITY_RATE,2025-10,98,96.69,98.66,20,19.73,PRODUCTION
EMP0019,DEFECT_RATE,2025-10,2,3.31,60.44,10,6.04,PRODUCTION
EMP0019,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0020,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0020,PUNCTUALITY,2025-10,90,86.36,95.96,10,9.6,ATTENDANCE
EMP0020,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,69.37,69.37,30,20.81,PRODUCTION
EMP0020,QUALITY_RATE,2025-10,98,96.46,98.43,20,19.69,PRODUCTION
EMP0020,DEFECT_RATE,2025-10,2,3.54,56.46,10,5.65,PRODUCTION
EMP0020,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0022,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0022,PUNCTUALITY,2025-10,90,100,111.11,10,11.11,ATTENDANCE
EMP0022,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,66.93,66.93,30,20.08,PRODUCTION
EMP0022,QUALITY_RATE,2025-10,98,96.62,98.59,20,19.72,PRODUCTION
EMP0022,DEFECT_RATE,2025-10,2,3.38,59.19,10,5.92,PRODUCTION
EMP0022,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0023,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0023,PUNCTUALITY,2025-10,90,60.87,67.63,10,6.76,ATTENDANCE
EMP0023,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,114.42,114.42,30,34.33,PRODUCTION
EMP0023,QUALITY_RATE,2025-10,98,99.64,101.68,20,20.34,PRODUCTION
EMP0023,DEFECT_RATE,2025-10,2,0.36,150,10,15,PRODUCTION
EMP0023,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0024,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0024,PUNCTUALITY,2025-10,90,82.61,91.79,10,9.18,ATTENDANCE
EMP0024,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,78.08,78.08,30,23.42,PRODUCTION
EMP0024,QUALITY_RATE,2025-10,98,95.62,97.57,20,19.51,PRODUCTION
EMP0024,DEFECT_RATE,2025-10,2,4.38,45.64,10,4.56,PRODUCTION
EMP0024,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0025,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0025,PUNCTUALITY,2025-10,90,86.36,95.96,10,9.6,ATTENDANCE
EMP0025,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,74.71,74.71,30,22.41,PRODUCTION
EMP0025,QUALITY_RATE,2025-10,98,95.92,97.88,20,19.58,PRODUCTION
EMP0025,DEFECT_RATE,2025-10,2,4.08,49.02,10,4.9,PRODUCTION
EMP0025,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0026,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0026,PUNCTUALITY,2025-10,90,66.67,74.07,10,7.41,ATTENDANCE
EMP0026,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,110.41,110.41,30,33.12,PRODUCTION
EMP0026,QUALITY_RATE,2025-10,98,98.64,100.65,20,20.13,PRODUCTION
EMP0026,DEFECT_RATE,2025-10,2,1.36,146.62,10,14.66,PRODUCTION
EMP0026,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0027,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0027,PUNCTUALITY,2025-10,90,86.36,95.96,10,9.6,ATTENDANCE
EMP0027,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,106.69,106.69,30,32.01,PRODUCTION
EMP0027,QUALITY_RATE,2025-10,98,98.63,100.64,20,20.13,PRODUCTION
EMP0027,DEFECT_RATE,2025-10,2,1.37,145.9,10,14.59,PRODUCTION
EMP0027,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0028,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0028,PUNCTUALITY,2025-10,90,72.73,80.81,10,8.08,ATTENDANCE
EMP0028,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,76.07,76.07,30,22.82,PRODUCTION
EMP0028,QUALITY_RATE,2025-10,98,96.73,98.7,20,19.74,PRODUCTION
EMP0028,DEFECT_RATE,2025-10,2,3.27,61.1,10,6.11,PRODUCTION
EMP0028,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0030,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0030,PUNCTUALITY,2025-10,90,66.67,74.07,10,7.41,ATTENDANCE
EMP0030,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,47.47,47.47,30,14.24,PRODUCTION
EMP0030,QUALITY_RATE,2025-10,98,93.86,95.77,20,19.15,PRODUCTION
EMP0030,DEFECT_RATE,2025-10,2,6.14,32.55,10,3.26,PRODUCTION
EMP0030,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0031,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0031,PUNCTUALITY,2025-10,90,95.65,106.28,10,10.63,ATTENDANCE
EMP0031,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,72.32,72.32,30,21.7,PRODUCTION
EMP0031,QUALITY_RATE,2025-10,98,96.58,98.55,20,19.71,PRODUCTION
EMP0031,DEFECT_RATE,2025-10,2,3.42,58.41,10,5.84,PRODUCTION
EMP0031,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0032,ATTENDANCE_RATE,2025-10,95,86.96,91.53,20,18.31,ATTENDANCE
EMP0032,PUNCTUALITY,2025-10,90,70,77.78,10,7.78,ATTENDANCE
EMP0032,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,109.07,109.07,30,32.72,PRODUCTION
EMP0032,QUALITY_RATE,2025-10,98,98.58,100.59,20,20.12,PRODUCTION
EMP0032,DEFECT_RATE,2025-10,2,1.42,140.81,10,14.08,PRODUCTION
EMP0032,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0033,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0033,PUNCTUALITY,2025-10,90,55.56,61.73,10,6.17,ATTENDANCE
EMP0033,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,81.01,81.01,30,24.3,PRODUCTION
EMP0033,QUALITY_RATE,2025-10,98,96.74,98.72,20,19.74,PRODUCTION
EMP0033,DEFECT_RATE,2025-10,2,3.26,61.41,10,6.14,PRODUCTION
EMP0033,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0034,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0034,PUNCTUALITY,2025-10,90,81.82,90.91,10,9.09,ATTENDANCE
EMP0034,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,71.26,71.26,30,21.38,PRODUCTION
EMP0034,QUALITY_RATE,2025-10,98,96.65,98.62,20,19.72,PRODUCTION
EMP0034,DEFECT_RATE,2025-10,2,3.35,59.65,10,5.97,PRODUCTION
EMP0034,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0035,ATTENDANCE_RATE,2025-10,95,82.61,86.96,20,17.39,ATTENDANCE
EMP0035,PUNCTUALITY,2025-10,90,78.95,87.72,10,8.77,ATTENDANCE
EMP0035,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,54.37,54.37,30,16.31,PRODUCTION
EMP0035,QUALITY_RATE,2025-10,98,91.86,93.73,20,18.75,PRODUCTION
EMP0035,DEFECT_RATE,2025-10,2,8.14,24.56,10,2.46,PRODUCTION
EMP0035,SAFETY_INCIDENTS,2025-10,0,2,100,10,10,PRODUCTION
EMP0037,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0037,PUNCTUALITY,2025-10,90,91.3,101.45,10,10.15,ATTENDANCE
EMP0037,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,73.46,73.46,30,22.04,PRODUCTION
EMP0037,QUALITY_RATE,2025-10,98,97.65,99.64,20,19.93,PRODUCTION
EMP0037,DEFECT_RATE,2025-10,2,2.35,85.12,10,8.51,PRODUCTION
EMP0037,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0038,ATTENDANCE_RATE,2025-10,95,82.61,86.96,20,17.39,ATTENDANCE
EMP0038,PUNCTUALITY,2025-10,90,73.68,81.87,10,8.19,ATTENDANCE
EMP0038,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,71.21,71.21,30,21.36,PRODUCTION
EMP0038,QUALITY_RATE,2025-10,98,97.82,99.81,20,19.96,PRODUCTION
EMP0038,DEFECT_RATE,2025-10,2,2.18,91.6,10,9.16,PRODUCTION
EMP0038,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0039,ATTENDANCE_RATE,2025-10,95,82.61,86.96,20,17.39,ATTENDANCE
EMP0039,PUNCTUALITY,2025-10,90,78.95,87.72,10,8.77,ATTENDANCE
EMP0039,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,80.26,80.26,30,24.08,PRODUCTION
EMP0039,QUALITY_RATE,2025-10,98,96.83,98.81,20,19.76,PRODUCTION
EMP0039,DEFECT_RATE,2025-10,2,3.17,63.1,10,6.31,PRODUCTION
EMP0039,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0040,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0040,PUNCTUALITY,2025-10,90,66.67,74.07,10,7.41,ATTENDANCE
EMP0040,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,77.93,77.93,30,23.38,PRODUCTION
EMP0040,QUALITY_RATE,2025-10,98,97.64,99.64,20,19.93,PRODUCTION
EMP0040,DEFECT_RATE,2025-10,2,2.36,84.91,10,8.49,PRODUCTION
EMP0040,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0041,ATTENDANCE_RATE,2025-10,95,82.61,86.96,20,17.39,ATTENDANCE
EMP0041,PUNCTUALITY,2025-10,90,68.42,76.02,10,7.6,ATTENDANCE
EMP0041,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,71.74,71.74,30,21.52,PRODUCTION
EMP0041,QUALITY_RATE,2025-10,98,96.79,98.77,20,19.75,PRODUCTION
EMP0041,DEFECT_RATE,2025-10,2,3.21,62.4,10,6.24,PRODUCTION
EMP0041,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0042,ATTENDANCE_RATE,2025-10,95,82.61,86.96,20,17.39,ATTENDANCE
EMP0042,PUNCTUALITY,2025-10,90,47.37,52.63,10,5.26,ATTENDANCE
EMP0042,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,71.29,71.29,30,21.39,PRODUCTION
EMP0042,QUALITY_RATE,2025-10,98,96.74,98.71,20,19.74,PRODUCTION
EMP0042,DEFECT_RATE,2025-10,2,3.26,61.33,10,6.13,PRODUCTION
EMP0042,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0043,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0043,PUNCTUALITY,2025-10,90,95.65,106.28,10,10.63,ATTENDANCE
EMP0043,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,69.5,69.5,30,20.85,PRODUCTION
EMP0043,QUALITY_RATE,2025-10,98,96.71,98.69,20,19.74,PRODUCTION
EMP0043,DEFECT_RATE,2025-10,2,3.29,60.83,10,6.08,PRODUCTION
EMP0043,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0044,ATTENDANCE_RATE,2025-10,95,86.96,91.53,20,18.31,ATTENDANCE
EMP0044,PUNCTUALITY,2025-10,90,70,77.78,10,7.78,ATTENDANCE
EMP0044,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,118.11,118.11,30,35.43,PRODUCTION
EMP0044,QUALITY_RATE,2025-10,98,98.86,100.87,20,20.17,PRODUCTION
EMP0044,DEFECT_RATE,2025-10,2,1.14,150,10,15,PRODUCTION
EMP0044,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0045,ATTENDANCE_RATE,2025-10,95,86.96,91.53,20,18.31,ATTENDANCE
EMP0045,PUNCTUALITY,2025-10,90,75,83.33,10,8.33,ATTENDANCE
EMP0045,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,68.68,68.68,30,20.6,PRODUCTION
EMP0045,QUALITY_RATE,2025-10,98,96.65,98.63,20,19.73,PRODUCTION
EMP0045,DEFECT_RATE,2025-10,2,3.35,59.75,10,5.98,PRODUCTION
EMP0045,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0046,ATTENDANCE_RATE,2025-10,95,86.96,91.53,20,18.31,ATTENDANCE
EMP0046,PUNCTUALITY,2025-10,90,90,100,10,10,ATTENDANCE
EMP0046,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,48.3,48.3,30,14.49,PRODUCTION
EMP0046,QUALITY_RATE,2025-10,98,90.77,92.63,20,18.53,PRODUCTION
EMP0046,DEFECT_RATE,2025-10,2,9.23,21.68,10,2.17,PRODUCTION
EMP0046,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0047,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0047,PUNCTUALITY,2025-10,90,77.27,85.86,10,8.59,ATTENDANCE
EMP0047,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,72.57,72.57,30,21.77,PRODUCTION
EMP0047,QUALITY_RATE,2025-10,98,96.95,98.93,20,19.79,PRODUCTION
EMP0047,DEFECT_RATE,2025-10,2,3.05,65.52,10,6.55,PRODUCTION
EMP0047,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0049,ATTENDANCE_RATE,2025-10,95,95.65,100.69,15,15.1,ATTENDANCE
EMP0049,QUALITY_RATE,2025-10,98,0,0,25,0,PRODUCTION
EMP0049,DEFECT_RATE,2025-10,2,0,150,20,30,PRODUCTION
EMP0049,MANAGEMENT_EFFECTIVENESS,2025-10,90,49.01,54.45,40,21.78,MANUAL
EMP0050,ATTENDANCE_RATE,2025-10,95,100,105.26,20,21.05,ATTENDANCE
EMP0050,PUNCTUALITY,2025-10,90,65.22,72.46,15,10.87,ATTENDANCE
EMP0050,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0050,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0051,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0051,PUNCTUALITY,2025-10,90,38.1,42.33,15,6.35,ATTENDANCE
EMP0051,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0051,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0052,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0052,PUNCTUALITY,2025-10,90,86.36,95.96,15,14.39,ATTENDANCE
EMP0052,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0052,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0054,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0054,PUNCTUALITY,2025-10,90,76.19,84.66,15,12.7,ATTENDANCE
EMP0054,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0054,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0055,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0055,PUNCTUALITY,2025-10,90,77.27,85.86,15,12.88,ATTENDANCE
EMP0055,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0055,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0057,ATTENDANCE_RATE,2025-10,95,91.3,96.11,20,19.22,ATTENDANCE
EMP0057,PUNCTUALITY,2025-10,90,61.9,68.78,15,10.32,ATTENDANCE
EMP0057,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0057,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0059,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0059,PUNCTUALITY,2025-10,90,44.44,49.38,15,7.41,ATTENDANCE
EMP0059,QUALITY_RATE,2025-10,98,0,0,35,0,PRODUCTION
EMP0059,DEFECT_RATE,2025-10,2,0,150,30,45,PRODUCTION
EMP0061,ATTENDANCE_RATE,2025-10,95,86.96,91.53,15,13.73,ATTENDANCE
EMP0061,TASK_COMPLETION_RATE,2025-10,95,72.42,76.23,25,19.06,MANUAL
EMP0061,COST_EFFICIENCY,2025-10,90,64.45,71.61,20,14.32,MANUAL
EMP0061,MANAGEMENT_EFFECTIVENESS,2025-10,90,70.69,78.54,40,31.42,MANUAL
EMP0062,ATTENDANCE_RATE,2025-10,95,82.61,86.96,30,26.09,ATTENDANCE
EMP0062,PUNCTUALITY,2025-10,90,52.63,58.48,20,11.7,ATTENDANCE
EMP0062,TASK_COMPLETION_RATE,2025-10,95,64.98,68.4,30,20.52,MANUAL
EMP0062,COST_EFFICIENCY,2025-10,90,64.15,71.28,20,14.26,MANUAL
EMP0063,ATTENDANCE_RATE,2025-10,95,95.65,100.69,30,30.21,ATTENDANCE
EMP0063,PUNCTUALITY,2025-10,90,68.18,75.76,20,15.15,ATTENDANCE
EMP0063,TASK_COMPLETION_RATE,2025-10,95,47.33,49.82,30,14.95,MANUAL
EMP0063,COST_EFFICIENCY,2025-10,90,46.75,51.94,20,10.39,MANUAL
EMP0064,ATTENDANCE_RATE,2025-10,95,91.3,96.11,30,28.83,ATTENDANCE
EMP0064,PUNCTUALITY,2025-10,90,61.9,68.78,20,13.76,ATTENDANCE
EMP0064,TASK_COMPLETION_RATE,2025-10,95,68.66,72.27,30,21.68,MANUAL
EMP0064,COST_EFFICIENCY,2025-10,90,65.04,72.27,20,14.45,MANUAL
EMP0065,ATTENDANCE_RATE,2025-10,95,95.65,100.69,30,30.21,ATTENDANCE
EMP0065,PUNCTUALITY,2025-10,90,77.27,85.86,20,17.17,ATTENDANCE
EMP0065,TASK_COMPLETION_RATE,2025-10,95,100,105.26,30,31.58,MANUAL
EMP0065,COST_EFFICIENCY,2025-10,90,88.07,97.85,20,19.57,MANUAL
EMP0066,ATTENDANCE_RATE,2025-10,95,73.91,77.8,30,23.34,ATTENDANCE
EMP0066,PUNCTUALITY,2025-10,90,64.71,71.9,20,14.38,ATTENDANCE
EMP0066,TASK_COMPLETION_RATE,2025-10,95,46.44,48.88,30,14.66,MANUAL
EMP0066,COST_EFFICIENCY,2025-10,90,45.4,50.44,20,10.09,MANUAL
EMP0067,ATTENDANCE_RATE,2025-10,95,100,105.26,30,31.58,ATTENDANCE
EMP0067,PUNCTUALITY,2025-10,90,95.65,106.28,20,21.26,ATTENDANCE
EMP0067,TASK_COMPLETION_RATE,2025-10,95,76.53,80.56,30,24.17,MANUAL
