employee_code,date,shift,target_units,produced_units,defective_units,rework_units,downtime_minutes,safety_incidents
EMP0009,2025-11-18,GENERAL,57,44,2,1,22,0
EMP0009,2025-11-19,GENERAL,60,53,3,1,24,0
EMP0009,2025-11-20,GENERAL,60,52,2,1,6,0
EMP0009,2025-11-21,GENERAL,49,40,2,1,29,0
EMP0009,2025-11-24,GENERAL,44,36,1,0,30,0
EMP0009,2025-11-25,GENERAL,51,40,2,1,40,0
EMP0009,2025-11-26,GENERAL,58,50,2,1,23,0
EMP0009,2025-11-27,GENERAL,57,46,2,1,24,0
EMP0009,2025-11-28,GENERAL,44,35,1,1,23,0
EMP0009,2025-12-01,GENERAL,50,45,2,1,21,0
EMP0009,2025-12-02,GENERAL,55,47,2,1,12,0
EMP0009,2025-12-03,GENERAL,50,39,2,1,12,0
EMP0009,2025-12-04,GENERAL,55,43,2,1,33,0
EMP0009,2025-12-05,GENERAL,55,45,2,1,20,0
EMP0009,2025-12-08,GENERAL,40,35,2,1,19,0
EMP0009,2025-12-09,GENERAL,49,42,2,1,0,0
EMP0009,2025-12-10,GENERAL,41,38,2,1,10,0
EMP0009,2025-12-11,GENERAL,58,47,2,1,3,0
EMP0009,2025-12-12,GENERAL,60,45,2,1,3,0
EMP0009,2025-12-15,GENERAL,40,36,2,1,59,0
EMP0009,2025-12-16,GENERAL,57,48,2,1,24,0
EMP0009,2025-12-17,GENERAL,46,36,1,0,30,0
EMP0009,2025-12-18,GENERAL,46,36,1,0,13,0
EMP0009,2025-12-19,GENERAL,49,45,2,1,25,0
EMP0009,2025-12-22,GENERAL,49,41,2,1,5,0
EMP0009,2025-12-24,GENERAL,48,40,2,1,21,0
EMP0009,2025-12-26,GENERAL,48,43,2,1,42,0
EMP0009,2025-12-29,GENERAL,49,42,2,1,10,0
EMP0009,2025-12-30,GENERAL,55,42,2,1,2,0
EMP0009,2026-01-02,GENERAL,40,31,1,1,25,0
EMP0009,2026-01-05,GENERAL,41,38,2,1,9,0
EMP0009,2026-01-06,GENERAL,54,45,2,1,11,0
EMP0009,2026-01-07,GENERAL,51,42,2,1,23,0
EMP0009,2026-01-08,GENERAL,51,45,2,1,13,0
EMP0009,2026-01-12,GENERAL,49,38,2,1,5,0
EMP0009,2026-01-13,GENERAL,53,49,2,1,6,0
EMP0009,2026-01-14,GENERAL,40,36,2,1,29,0
EMP0009,2026-01-15,GENERAL,42,37,2,1,16,0
EMP0009,2026-01-16,GENERAL,51,42,2,1,26,0
EMP0009,2026-01-19,GENERAL,50,39,2,1,22,0
EMP0009,2026-01-20,GENERAL,45,37,1,1,15,0
EMP0009,2026-01-21,GENERAL,45,41,2,1,54,0
EMP0009,2026-01-22,GENERAL,53,45,2,1,66,0
EMP0009,2026-01-23,GENERAL,51,46,2,1,18,0
EMP0009,2026-01-26,GENERAL,53,47,2,1,8,0
EMP0009,2026-01-27,GENERAL,41,36,1,1,27,0
EMP0009,2026-01-28,GENERAL,48,39,2,1,2,0
EMP0009,2026-01-29,GENERAL,46,38,2,1,3,0
EMP0009,2026-01-30,GENERAL,51,47,2,1,9,0
EMP0009,2026-02-02,GENERAL,47,39,2,1,11,0
EMP0009,2026-02-05,GENERAL,42,38,2,1,0,0
EMP0009,2026-02-09,GENERAL,43,38,2,1,58,0
EMP0009,2026-02-10,GENERAL,60,47,2,1,3,0
EMP0009,2026-02-11,GENERAL,43,38,2,1,2,0
EMP0009,2026-02-12,GENERAL,57,45,2,1,6,0
EMP0009,2026-02-13,GENERAL,60,47,2,1,3,0
EMP0009,2026-02-16,GENERAL,40,37,2,1,1,0
EMP0009,2026-02-17,GENERAL,52,46,2,1,30,0
EMP0009,2026-02-19,GENERAL,44,34,2,1,9,0
EMP0009,2026-02-20,GENERAL,40,36,1,1,21,0
EMP0009,2026-02-23,GENERAL,55,47,2,1,2,0
EMP0009,2026-02-24,GENERAL,56,51,3,2,17,0
EMP0009,2026-02-25,GENERAL,57,49,2,1,29,0
EMP0009,2026-02-26,GENERAL,47,38,2,1,24,0
EMP0009,2026-02-27,GENERAL,54,49,2,1,26,0
EMP0009,2026-03-02,GENERAL,54,43,2,1,1,0
EMP0009,2026-03-03,GENERAL,41,33,1,1,23,0
EMP0009,2026-03-04,GENERAL,46,37,1,0,17,0
EMP0009,2026-03-05,GENERAL,40,32,1,0,7,0
EMP0009,2026-03-06,GENERAL,41,31,1,0,0,0
EMP0009,2026-03-09,GENERAL,50,41,2,1,0,0
EMP0009,2026-03-10,GENERAL,56,46,2,1,11,0
EMP0009,2026-03-11,GENERAL,54,48,2,1,19,0
EMP0009,2026-03-12,GENERAL,49,37,1,0,42,0
EMP0009,2026-03-13,GENERAL,44,33,2,1,2,0
EMP0009,2026-03-16,GENERAL,50,44,2,1,29,0
EMP0009,2026-03-17,GENERAL,58,53,3,2,15,0
EMP0009,2026-03-18,GENERAL,55,43,2,1,72,0
EMP0009,2026-03-19,GENERAL,43,38,2,1,37,0
EMP0009,2026-03-20,GENERAL,48,41,2,1,13,0
EMP0009,2026-03-24,GENERAL,48,43,2,1,11,0
EMP0009,2026-03-25,GENERAL,56,44,2,1,29,0
EMP0009,2026-03-26,GENERAL,50,43,2,1,7,0
EMP0009,2026-03-27,GENERAL,52,40,2,1,9,0
EMP0009,2026-03-30,GENERAL,58,50,2,1,10,0
EMP0009,2026-03-31,GENERAL,59,53,2,1,14,0
EMP0009,2026-04-01,GENERAL,57,45,2,1,27,0
EMP0009,2026-04-02,GENERAL,59,54,3,2,13,0
EMP0009,2026-04-03,GENERAL,47,43,2,1,20,0
EMP0009,2026-04-06,GENERAL,43,39,2,1,28,0
EMP0009,2026-04-07,GENERAL,47,36,2,1,1,0
EMP0009,2026-04-08,GENERAL,51,43,2,1,29,0
EMP0009,2026-04-09,GENERAL,50,40,2,1,26,0
EMP0009,2026-04-10,GENERAL,55,44,2,1,73,0
EMP0009,2026-04-14,GENERAL,55,42,2,1,6,0
EMP0009,2026-04-15,GENERAL,42,37,1,1,5,0
EMP0009,2026-04-16,GENERAL,55,45,2,1,29,0
EMP0009,2026-04-17,GENERAL,55,49,2,1,7,0
EMP0009,2026-04-20,GENERAL,46,39,2,1,25,0
EMP0009,2026-04-21,GENERAL,42,35,1,0,30,0
EMP0009,2026-04-22,GENERAL,59,49,2,1,27,0
EMP0009,2026-04-23,GENERAL,54,46,2,1,28,0
EMP0009,2026-04-24,GENERAL,45,36,1,1,21,0
EMP0009,2026-04-27,GENERAL,55,44,2,1,6,0
EMP0009,2026-04-28,GENERAL,44,35,1,0,15,0
EMP0009,2026-04-29,GENERAL,53,49,2,1,21,0
EMP0009,2026-04-30,GENERAL,57,51,2,1,12,0
EMP0009,2026-05-04,GENERAL,44,38,2,1,4,0
EMP0009,2026-05-05,GENERAL,52,41,2,1,26,0
EMP0009,2026-05-06,GENERAL,49,44,2,1,9,0
EMP0009,2026-05-07,GENERAL,46,41,2,1,0,0
EMP0009,2026-05-08,GENERAL,45,38,2,1,13,0
EMP0009,2026-05-11,GENERAL,50,41,2,1,10,0
EMP0009,2026-05-12,GENERAL,59,49,2,1,64,0
EMP0009,2026-05-13,GENERAL,58,45,2,1,18,0
EMP0009,2026-05-14,GENERAL,52,40,2,1,7,0
EMP0009,2026-05-15,GENERAL,52,41,2,1,13,0
EMP0009,2026-05-18,GENERAL,58,49,2,1,14,0
EMP0009,2026-05-19,GENERAL,53,41,2,1,22,0
EMP0009,2026-05-20,GENERAL,52,43,2,1,11,0
EMP0009,2026-05-21,GENERAL,43,33,1,0,22,0
EMP0009,2026-05-22,GENERAL,60,46,2,1,21,0
EMP0009,2026-05-25,GENERAL,57,44,2,1,15,0
EMP0009,2026-05-26,GENERAL,44,38,2,1,23,0
EMP0009,2026-05-27,GENERAL,52,44,2,1,29,0
EMP0009,2026-05-28,GENERAL,57,47,2,1,20,0
EMP0009,2026-05-29,GENERAL,46,36,1,1,30,0
EMP0009,2026-06-01,GENERAL,58,49,2,1,29,0
EMP0009,2026-06-02,GENERAL,47,43,2,1,10,0
EMP0009,2026-06-03,GENERAL,50,38,2,1,22,0
EMP0009,2026-06-04,GENERAL,50,39,2,1,8,0
EMP0009,2026-06-05,GENERAL,40,36,1,0,25,0
EMP0009,2026-06-08,GENERAL,49,45,2,1,15,0
EMP0009,2026-06-09,GENERAL,48,38,2,1,6,0
EMP0009,2026-06-10,GENERAL,55,42,2,1,6,0
EMP0009,2026-06-11,GENERAL,40,32,2,1,72,0
EMP0009,2026-06-15,GENERAL,57,46,2,1,16,0
EMP0009,2026-06-16,GENERAL,42,37,2,1,7,0
EMP0009,2026-06-17,GENERAL,58,48,2,1,28,0
EMP0009,2026-06-18,GENERAL,60,48,2,1,16,0
EMP0009,2026-06-19,GENERAL,59,47,2,1,3,0
EMP0009,2026-06-22,GENERAL,54,46,2,1,17,0
EMP0009,2026-06-23,GENERAL,50,46,2,1,18,0
EMP0009,2026-06-24,GENERAL,40,33,1,1,68,0
EMP0009,2026-06-29,GENERAL,46,36,2,1,19,0
EMP0009,2026-06-30,GENERAL,45,36,2,1,25,0
EMP0009,2026-07-01,GENERAL,51,45,2,1,22,0
EMP0009,2026-07-02,GENERAL,50,38,2,1,5,0
EMP0009,2026-07-03,GENERAL,58,50,3,1,70,0
EMP0009,2026-07-06,GENERAL,58,47,2,1,1,0
EMP0009,2026-07-07,GENERAL,47,36,1,0,61,0
EMP0009,2026-07-08,GENERAL,55,46,2,1,13,0
EMP0009,2026-07-09,GENERAL,47,39,2,1,23,1
EMP0009,2026-07-10,GENERAL,45,34,1,1,74,0
EMP0009,2026-07-13,GENERAL,44,34,1,0,26,0
EMP0009,2026-07-14,GENERAL,44,34,1,0,13,0
EMP0009,2026-07-15,GENERAL,51,41,2,1,28,0
EMP0009,2026-07-16,GENERAL,60,51,3,1,17,0
EMP0009,2026-07-17,GENERAL,52,43,2,1,27,0
EMP0009,2026-07-20,GENERAL,45,36,1,1,26,0
EMP0009,2026-07-21,GENERAL,57,45,2,1,46,0
EMP0009,2026-07-22,GENERAL,54,44,2,1,4,0
EMP0009,2026-07-23,GENERAL,47,42,2,1,21,0
EMP0009,2026-07-24,GENERAL,47,43,2,1,58,0
EMP0009,2026-07-27,GENERAL,56,50,3,2,25,0
EMP0009,2026-07-28,GENERAL,42,34,1,0,7,0
EMP0009,2026-07-29,GENERAL,40,30,1,0,5,0
EMP0009,2026-07-30,GENERAL,47,40,2,1,10,0
EMP0009,2026-07-31,GENERAL,51,44,2,1,14,0
EMP0009,2026-08-03,GENERAL,49,44,2,1,6,0
EMP0009,2026-08-04,GENERAL,57,44,2,1,52,0
EMP0009,2026-08-05,GENERAL,43,33,1,0,12,0
EMP0009,2026-08-06,GENERAL,54,47,2,1,24,0
EMP0009,2026-08-07,GENERAL,42,32,1,0,22,0
EMP0009,2026-08-11,GENERAL,46,40,2,1,7,0
EMP0009,2026-08-12,GENERAL,54,48,2,1,38,0
EMP0009,2026-08-13,GENERAL,56,45,2,1,5,0
EMP0009,2026-08-14,GENERAL,52,44,2,1,34,0
EMP0009,2026-08-17,GENERAL,47,36,2,1,17,0
EMP0009,2026-08-18,GENERAL,42,32,1,1,22,0
EMP0009,2026-08-19,GENERAL,53,45,2,1,8,0
EMP0009,2026-08-20,GENERAL,42,33,1,0,5,0
EMP0009,2026-08-21,GENERAL,41,38,2,1,26,0
EMP0009,2026-08-24,GENERAL,47,39,2,1,5,0
EMP0009,2026-08-25,GENERAL,41,34,1,1,17,0
EMP0009,2026-08-26,GENERAL,48,37,1,0,30,0
EMP0009,2026-08-27,GENERAL,45,36,2,1,17,0
EMP0009,2026-08-28,GENERAL,50,40,2,1,27,0
EMP0009,2026-08-31,GENERAL,52,46,2,1,17,0
EMP0009,2026-09-01,GENERAL,47,38,2,1,3,0
EMP0009,2026-09-02,GENERAL,52,43,2,1,4,0
EMP0009,2026-09-03,GENERAL,43,35,2,1,25,0
EMP0009,2026-09-04,GENERAL,48,38,2,1,28,0
EMP0009,2026-09-07,GENERAL,50,46,2,1,64,0
EMP0009,2026-09-08,GENERAL,47,40,2,1,6,0
EMP0009,2026-09-09,GENERAL,52,40,2,1,5,0
EMP0009,2026-09-10,GENERAL,55,43,2,1,44,0
EMP0009,2026-09-11,GENERAL,58,52,2,1,6,0
EMP0010,2025-09-11,SHIFT_A,86,44,5,3,19,1
EMP0010,2025-09-12,SHIFT_A,86,46,5,2,4,0
EMP0010,2025-09-15,SHIFT_A,71,43,5,3,13,0
EMP0010,2025-09-16,SHIFT_A,71,37,4,2,39,0
EMP0010,2025-09-17,SHIFT_A,94,56,6,3,12,0
EMP0010,2025-09-18,SHIFT_A,97,59,6,2,15,0
EMP0010,2025-09-19,SHIFT_A,97,51,6,4,27,0
EMP0010,2025-09-22,SHIFT_A,79,40,4,1,14,0
EMP0010,2025-09-23,SHIFT_A,92,54,5,2,22,0
EMP0010,2025-09-24,SHIFT_A,93,48,5,2,24,0
EMP0010,2025-09-25,SHIFT_A,76,41,4,2,4,0
EMP0010,2025-09-26,SHIFT_A,77,44,5,2,24,0
EMP0010,2025-09-29,SHIFT_A,80,47,5,3,2,0
EMP0010,2025-09-30,SHIFT_A,90,48,5,3,5,0
EMP0010,2025-10-01,SHIFT_A,100,55,6,2,26,1
EMP0010,2025-10-02,SHIFT_A,84,50,6,4,10,0
EMP0010,2025-10-03,SHIFT_A,78,44,5,3,12,0
EMP0010,2025-10-06,SHIFT_A,72,40,4,3,9,0
EMP0010,2025-10-07,SHIFT_A,95,54,6,2,6,0
EMP0010,2025-10-08,SHIFT_A,98,56,6,4,54,0
EMP0010,2025-10-09,SHIFT_A,85,46,5,2,11,0
EMP0010,2025-10-10,SHIFT_A,98,51,6,3,13,0
EMP0010,2025-10-13,SHIFT_A,75,46,5,2,46,0
EMP0010,2025-10-14,SHIFT_A,80,41,4,2,13,0
EMP0010,2025-10-15,SHIFT_A,78,40,4,2,11,0
EMP0010,2025-10-16,SHIFT_A,82,42,4,2,13,0
EMP0010,2025-10-17,SHIFT_A,92,53,5,3,8,0
EMP0010,2025-10-20,SHIFT_A,77,44,5,2,60,0
EMP0010,2025-10-21,SHIFT_A,97,55,6,4,9,0
EMP0010,2025-10-22,SHIFT_A,76,43,4,2,12,0
EMP0010,2025-10-23,SHIFT_A,92,55,6,4,0,0
EMP0010,2025-10-24,SHIFT_A,76,43,5,3,71,0
EMP0010,2025-10-27,SHIFT_A,77,40,4,2,54,0
EMP0010,2025-10-28,SHIFT_A,82,46,5,3,3,0
EMP0010,2025-10-29,SHIFT_A,85,46,5,2,4,0
EMP0010,2025-10-30,SHIFT_A,95,51,5,3,19,0
EMP0010,2025-10-31,SHIFT_A,73,43,4,1,13,0
EMP0010,2025-11-03,SHIFT_A,86,44,4,2,51,0
EMP0010,2025-11-04,SHIFT_A,91,47,5,2,15,0
EMP0010,2025-11-05,SHIFT_A,99,60,6,3,17,0
EMP0010,2025-11-06,SHIFT_A,90,50,5,2,14,0
EMP0010,2025-11-07,SHIFT_A,88,49,5,3,3,0
EMP0010,2025-11-10,SHIFT_A,94,52,6,2,30,0
EMP0010,2025-11-11,SHIFT_A,96,49,5,3,15,0
EMP0010,2025-11-12,SHIFT_A,86,47,5,2,20,0
EMP0010,2025-11-13,SHIFT_A,98,58,6,3,9,0
EMP0010,2025-11-14,SHIFT_A,75,40,4,2,23,0
EMP0010,2025-11-17,SHIFT_A,71,40,4,1,31,0
EMP0010,2025-11-18,SHIFT_A,81,46,5,2,8,0
EMP0010,2025-11-19,SHIFT_A,100,54,5,3,1,0
EMP0010,2025-11-20,SHIFT_A,75,45,5,2,7,0
EMP0010,2025-11-21,SHIFT_A,90,47,5,2,3,0
EMP0010,2025-11-24,SHIFT_A,85,50,5,3,14,0
EMP0010,2025-11-25,SHIFT_A,88,49,5,2,14,0
EMP0010,2025-11-26,SHIFT_A,79,43,5,3,10,0
EMP0010,2025-11-27,SHIFT_A,83,49,5,2,13,0
EMP0010,2025-11-28,SHIFT_A,70,41,4,2,27,0
EMP0010,2025-12-01,SHIFT_A,73,44,5,3,30,0
EMP0010,2025-12-02,SHIFT_A,85,51,5,3,19,0
EMP0010,2025-12-03,SHIFT_A,92,52,6,3,0,0
EMP0010,2025-12-04,SHIFT_A,100,54,5,2,27,1
EMP0010,2025-12-05,SHIFT_A,96,51,6,3,14,0
EMP0010,2025-12-08,SHIFT_A,82,45,5,2,15,0
EMP0010,2025-12-09,SHIFT_A,95,52,6,3,16,0
EMP0010,2025-12-10,SHIFT_A,93,47,5,2,0,0
EMP0010,2025-12-11,SHIFT_A,97,53,6,2,28,0
EMP0010,2025-12-12,SHIFT_A,93,49,5,4,10,0
EMP0010,2025-12-15,SHIFT_A,97,53,6,2,17,1
EMP0010,2025-12-16,SHIFT_A,96,51,6,3,55,0
EMP0010,2025-12-17,SHIFT_A,70,35,4,2,10,0
EMP0010,2025-12-18,SHIFT_A,100,52,5,3,15,0
EMP0010,2025-12-19,SHIFT_A,84,46,5,2,11,0
EMP0010,2025-12-22,SHIFT_A,96,52,5,2,28,0
EMP0010,2025-12-23,SHIFT_A,99,58,6,3,26,0
EMP0010,2025-12-24,SHIFT_A,91,51,5,3,24,0
EMP0010,2025-12-26,SHIFT_A,97,59,6,4,24,0
EMP0010,2025-12-29,SHIFT_A,87,52,5,2,42,0
EMP0010,2025-12-30,SHIFT_A,93,54,6,4,46,0
EMP0010,2026-01-02,SHIFT_A,84,43,4,2,23,0
EMP0010,2026-01-05,SHIFT_A,82,45,5,3,9,0
EMP0010,2026-01-06,SHIFT_A,89,46,5,2,7,0
EMP0010,2026-01-07,SHIFT_A,79,46,5,3,27,0
EMP0010,2026-01-08,SHIFT_A,91,56,6,2,27,0
EMP0010,2026-01-09,SHIFT_A,97,55,6,3,11,0
EMP0010,2026-01-12,SHIFT_A,81,45,5,3,25,0
EMP0010,2026-01-13,SHIFT_A,78,40,4,2,24,0
EMP0010,2026-01-14,SHIFT_A,93,49,5,3,7,0
EMP0010,2026-01-15,SHIFT_A,77,41,4,1,16,0
EMP0010,2026-01-16,SHIFT_A,73,39,4,2,30,0
EMP0010,2026-01-19,SHIFT_A,72,42,4,2,16,0
EMP0010,2026-01-20,SHIFT_A,75,40,4,2,7,0
EMP0010,2026-01-22,SHIFT_A,93,55,6,3,19,0
EMP0010,2026-01-23,SHIFT_A,93,48,5,3,28,0
EMP0010,2026-01-26,SHIFT_A,81,41,4,1,29,0
EMP0010,2026-01-27,SHIFT_A,84,48,5,2,9,0
EMP0010,2026-01-28,SHIFT_A,98,52,6,3,74,0
EMP0010,2026-01-29,SHIFT_A,85,45,5,3,30,0
EMP0010,2026-01-30,SHIFT_A,95,52,6,2,6,0
EMP0010,2026-02-02,SHIFT_A,72,37,4,1,24,0
EMP0010,2026-02-03,SHIFT_A,77,45,5,2,22,0
EMP0010,2026-02-05,SHIFT_A,79,45,5,2,19,0
EMP0010,2026-02-06,SHIFT_A,83,45,5,3,26,0
EMP0010,2026-02-09,SHIFT_A,70,39,4,2,7,0
EMP0010,2026-02-10,SHIFT_A,86,50,5,3,39,0
EMP0010,2026-02-11,SHIFT_A,88,49,5,3,3,0
EMP0010,2026-02-12,SHIFT_A,71,38,4,1,30,0
EMP0010,2026-02-13,SHIFT_A,77,43,5,3,17,0
EMP0010,2026-02-16,SHIFT_A,76,40,4,1,27,0
EMP0010,2026-02-17,SHIFT_A,93,52,5,2,5,0
EMP0010,2026-02-18,SHIFT_A,76,43,4,2,33,0
EMP0010,2026-02-19,SHIFT_A,95,55,6,3,2,0
EMP0010,2026-02-20,SHIFT_A,87,44,5,2,32,0
EMP0010,2026-02-23,SHIFT_A,73,42,5,3,27,0
EMP0010,2026-02-24,SHIFT_A,90,45,5,2,1,0
EMP0010,2026-02-25,SHIFT_A,80,43,4,2,2,0
EMP0010,2026-02-26,SHIFT_A,77,42,5,2,25,0
EMP0010,2026-02-27,SHIFT_A,98,53,5,2,21,0
EMP0010,2026-03-02,SHIFT_A,89,52,5,2,27,0
EMP0010,2026-03-03,SHIFT_A,83,47,5,2,29,0
EMP0010,2026-03-04,SHIFT_A,87,52,5,3,37,0
EMP0010,2026-03-05,SHIFT_A,83,48,5,3,17,0
EMP0010,2026-03-06,SHIFT_A,70,40,4,2,26,0
EMP0010,2026-03-10,SHIFT_A,92,56,6,2,13,0
EMP0010,2026-03-11,SHIFT_A,81,44,4,3,18,0
EMP0010,2026-03-12,SHIFT_A,70,41,4,3,10,0
EMP0010,2026-03-13,SHIFT_A,90,48,5,2,0,0
EMP0010,2026-03-16,SHIFT_A,70,42,4,2,18,0
EMP0010,2026-03-17,SHIFT_A,92,53,6,2,0,0
EMP0010,2026-03-18,SHIFT_A,79,43,4,1,5,0
EMP0010,2026-03-19,SHIFT_A,75,45,5,3,18,0
EMP0010,2026-03-20,SHIFT_A,93,49,5,2,34,0
EMP0010,2026-03-23,SHIFT_A,77,39,4,2,9,0
EMP0010,2026-03-24,SHIFT_A,73,43,4,2,0,0
EMP0010,2026-03-25,SHIFT_A,99,52,5,2,16,0
EMP0010,2026-03-26,SHIFT_A,73,37,4,2,67,0
EMP0010,2026-03-27,SHIFT_A,89,50,6,3,1,0
EMP0010,2026-03-30,SHIFT_A,94,49,5,2,24,0
EMP0010,2026-03-31,SHIFT_A,72,40,4,2,16,0
EMP0010,2026-04-01,SHIFT_A,79,41,4,2,27,0
EMP0010,2026-04-03,SHIFT_A,73,45,5,3,23,0
EMP0010,2026-04-06,SHIFT_A,93,56,6,3,14,0
EMP0010,2026-04-07,SHIFT_A,88,45,5,3,17,0
EMP0010,2026-04-08,SHIFT_A,72,44,4,2,21,0
EMP0010,2026-04-09,SHIFT_A,94,49,5,3,29,0
EMP0010,2026-04-10,SHIFT_A,93,54,6,4,17,0
EMP0010,2026-04-13,SHIFT_A,70,36,4,2,11,0
EMP0010,2026-04-14,SHIFT_A,77,41,4,2,13,0
EMP0010,2026-04-15,SHIFT_A,88,54,5,2,7,0
EMP0010,2026-04-16,SHIFT_A,72,37,4,3,15,0
EMP0010,2026-04-17,SHIFT_A,95,54,6,4,30,0
EMP0010,2026-04-20,SHIFT_A,75,39,4,2,26,0
EMP0010,2026-04-21,SHIFT_A,87,50,6,3,17,0
EMP0010,2026-04-22,SHIFT_A,93,57,6,4,8,0
EMP0010,2026-04-23,SHIFT_A,86,52,6,3,60,0
EMP0010,2026-04-24,SHIFT_A,77,45,5,3,22,0
EMP0010,2026-04-27,SHIFT_A,85,48,5,3,21,0
EMP0010,2026-04-28,SHIFT_A,99,54,5,2,18,0
EMP0010,2026-04-29,SHIFT_A,77,47,5,2,24,0
EMP0010,2026-04-30,SHIFT_A,83,48,5,3,23,0
EMP0010,2026-05-04,SHIFT_A,78,48,5,2,12,0
EMP0010,2026-05-05,SHIFT_A,91,52,5,2,1,0
EMP0010,2026-05-06,SHIFT_A,80,47,5,3,4,0
EMP0010,2026-05-07,SHIFT_A,95,49,5,3,18,0
EMP0010,2026-05-08,SHIFT_A,76,39,4,3,20,0
EMP0010,2026-05-11,SHIFT_A,75,39,4,2,14,0
EMP0010,2026-05-12,SHIFT_A,74,40,4,3,16,0
EMP0010,2026-05-13,SHIFT_A,75,39,4,2,46,0
EMP0010,2026-05-14,SHIFT_A,92,52,6,4,14,0
EMP0010,2026-05-15,SHIFT_A,91,48,5,2,18,0
EMP0010,2026-05-18,SHIFT_A,81,48,5,2,4,0
EMP0010,2026-05-19,SHIFT_A,100,60,6,3,27,0
EMP0010,2026-05-20,SHIFT_A,77,44,4,3,16,0
EMP0010,2026-05-21,SHIFT_A,95,54,5,3,7,0
EMP0010,2026-05-22,SHIFT_A,70,36,4,2,5,0
EMP0010,2026-05-26,SHIFT_A,92,56,6,2,8,0
EMP0010,2026-05-27,SHIFT_A,78,46,5,2,7,0
EMP0010,2026-05-28,SHIFT_A,72,37,4,2,4,0
EMP0010,2026-05-29,SHIFT_A,87,44,4,2,11,0
EMP0010,2026-06-01,SHIFT_A,95,51,5,3,8,0
EMP0010,2026-06-02,SHIFT_A,85,51,5,2,18,0
EMP0010,2026-06-03,SHIFT_A,88,51,5,2,63,0
EMP0010,2026-06-04,SHIFT_A,86,48,5,2,16,0
EMP0010,2026-06-05,SHIFT_A,90,46,5,3,30,0
EMP0010,2026-06-08,SHIFT_A,80,47,5,3,29,0
EMP0010,2026-06-09,SHIFT_A,85,46,5,3,19,0
EMP0010,2026-06-10,SHIFT_A,84,51,5,2,1,0
EMP0010,2026-06-11,SHIFT_A,78,43,4,2,16,0
EMP0010,2026-06-12,SHIFT_A,76,45,5,3,3,0
EMP0010,2026-06-15,SHIFT_A,100,60,6,4,6,0
EMP0010,2026-06-16,SHIFT_A,87,50,6,3,12,0
EMP0010,2026-06-17,SHIFT_A,80,41,5,2,8,0
